player,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,fpoints_g
"Albies, Ozzie",2019,21,0.403,0.305,0.295,86.8,16.1,34,4.7,6.6,29.4,82.9,32.6,39.5,27.3,23.9,9.3,28.7,2.90625
"Chapman, Matt",2019,25,0.432,0.338,0.338,93.1,14.9,30.5,8.9,7.2,47.8,61.8,21.1,40.7,22.3,26.3,10.7,28.4,2.66025641025641
"Hoskins, Rhys",2019,25,0.454,0.349,0.344,89,22.6,35.8,11.4,9.2,39.5,60,19.7,29.8,34.4,23,12.8,26.3,2.34375
"Schwarber, Kyle",2019,25,0.472,0.35,0.362,90.9,12.3,34,12.7,4.8,45,64.8,21.9,46,23.7,24.4,5.8,27.1,2.393548387096774
"Moncada, Yoan",2019,23,0.381,0.297,0.294,91,15.4,36.4,9.6,8.2,44.2,62.7,20.4,38.1,27.1,28.2,6.6,28.7,2.560606060606061
"Cabrera, Miguel",2020,36,0.436,0.331,0.337,90.3,12.3,38.2,6.4,7.2,44.7,67.9,33.9,44.9,22.3,27.9,4.9,23.5,2.1403508771929824
"Cruz Jr., Nelson",2020,38,0.637,0.415,0.377,93.7,13.1,38.3,19.9,8.3,51.5,69.9,27.3,40.5,24.8,27,7.7,25.3,2.69811320754717
"Longoria, Evan",2020,33,0.491,0.351,0.34,89.7,14,35.8,7.5,8.4,40.8,64.6,30.1,41,26.6,27.2,5.2,26.4,2.037735849056604
"Cabrera, Asdrubal",2020,33,0.408,0.317,0.326,89.1,14.4,37.3,5.7,6.3,35.3,66.4,25.1,38.7,27.1,27.9,6.3,25.4,2.269230769230769
"Blackmon, Charlie",2020,32,0.525,0.367,0.348,88.7,14.6,36.8,8.3,7.9,40.3,70.4,30.5,40.3,26.8,26.6,6.2,26.7,2.5254237288135593
"Votto, Joey",2020,35,0.446,0.347,0.359,88.9,15.2,40.7,6.9,5.7,38.2,65.5,18.5,37.8,30.1,28.9,3.2,25,2.425925925925926
"Santana, Carlos",2020,33,0.48,0.367,0.384,91.8,11.7,29.1,9.6,5.8,44.9,63.7,17.9,46.3,26.3,20.8,6.6,25.7,2.3333333333333335
"Brantley Jr., Michael",2020,32,0.473,0.357,0.36,88.8,10.6,36.3,5.5,6.8,37.3,61,26,46,20.9,28.1,5.1,26.4,2.5652173913043477
"Gurriel, Yuli",2020,35,0.415,0.321,0.329,89.3,14.3,33.5,3.6,4.2,38.1,66.7,34.4,38.6,21.4,27.3,12.7,27.6,2.017543859649123
"Escobar, Eduardo",2020,30,0.464,0.326,0.31,87.8,18.4,38.6,7,7.9,31.4,71.4,37.8,32.9,33.5,27.1,6.4,27.6,1.5740740740740742
"Martinez, J.D.",2020,31,0.567,0.396,0.384,91.3,12.5,40.7,11.8,7.5,47.9,72.6,29.8,43,25.6,28.5,2.9,26.7,1.7592592592592593
"Reddick, Josh",2020,32,0.398,0.316,0.324,86.1,15.8,36,3.4,4,29.4,74.2,30,40.4,23.1,27,9.4,26.7,1.6964285714285714
"Goldschmidt, Paul",2020,31,0.509,0.359,0.345,90.1,15.4,36.4,11.3,9,42.4,66.6,28.4,38.5,29.7,24.4,7.4,26.6,2.3275862068965516
"Altuve, Jose",2020,29,0.484,0.344,0.328,87.4,9.7,28.2,8.1,4,34.5,67.8,30.7,50.7,21.8,19.7,7.8,28.6,2
"Hernandez, Cesar",2020,29,0.375,0.302,0.32,86,9.5,32,2.7,2.7,28.3,64.5,27.7,49.8,17.6,24.4,8.1,28.8,2.0172413793103448
"Segura, Jean",2020,29,0.401,0.31,0.314,88.2,7.2,31,3.2,5.9,32.7,60.8,35.8,52.9,16.4,23.9,6.9,27.5,2.111111111111111
"Marte, Starling",2020,30,0.507,0.362,0.346,88.6,8.2,31.3,8,5.5,38.6,76.9,33.5,52.5,19.7,23.5,4.2,29,2.3278688524590163
"Freeman, Freddie",2020,29,0.569,0.397,0.389,89.7,14.4,40,12.3,7,42.5,80.6,29.3,38.1,27.1,30.9,3.8,26.5,4.183333333333334
"Grandal, Yasmani",2020,30,0.475,0.366,0.379,90.7,14.2,37.5,11.3,8.7,41.8,58.7,21.6,40.9,27.2,24.8,7.1,24.2,2.0434782608695654
"LeMahieu, DJ",2020,30,0.522,0.376,0.364,91.9,6.5,35.2,7.5,6.8,48.5,64.4,27,49.7,17.2,29.8,3.3,26.7,3.66
"Rizzo, Anthony",2020,29,0.487,0.388,0.411,89,12.6,36.8,6.8,5.6,37,63.6,32.1,43.1,21.2,29.1,6.5,25.2,2.189655172413793
"Garcia, Avisail",2020,28,0.492,0.343,0.323,89.5,9.8,34.1,11.7,6.8,40.3,81.3,36,45.8,21,26.7,6.5,28.9,1.2452830188679245
"Ozuna, Marcell",2020,28,0.532,0.378,0.367,91.8,13.5,32.8,12.1,6.7,49.2,68.1,27.6,41.9,24.5,26.3,7.3,27.5,3.6166666666666663
"Villar, Jonathan",2020,28,0.412,0.315,0.315,88.9,8.2,30.3,6.8,5.7,37.1,74.2,28.2,50.8,19.5,22.9,6.8,28,1.2115384615384617
"Crawford, Brandon",2020,32,0.395,0.306,0.314,87.8,8.3,36.7,5.4,6.5,35.1,77.2,28.3,49.1,18.9,26.9,5.2,25.7,1.9074074074074072
"Rendon, Anthony",2020,29,0.59,0.414,0.407,90.4,19.5,38.7,12,6.6,46.6,68.3,20.6,33.3,30.1,27.1,9.4,26.7,3.0961538461538463
"Semien, Marcus",2020,28,0.495,0.363,0.359,88.9,14.9,34,8.5,5.2,38.1,66.5,19.2,41,25.5,25.2,8.3,28.1,2.056603773584906
"Springer III, George",2020,29,0.578,0.4,0.379,89.8,10.5,31.6,14.1,5.9,44.8,69.1,20.8,44.6,24.3,25.1,5.9,28.5,3.0980392156862746
"Vazquez, Christian",2020,28,0.441,0.313,0.3,89.4,13.3,37.5,5.9,8.8,40.1,68.2,32.5,39.5,25.1,29.7,5.7,25.7,2.148936170212766
"Wong, Kolten",2020,28,0.349,0.297,0.326,86.1,12.6,28.6,2.2,4.2,25.4,67.7,29.9,47,21.2,22.4,9.4,27.7,1.8113207547169812
"Grichuk, Randal",2020,27,0.428,0.304,0.285,89.3,16,31.3,8.5,7.3,39.8,69.4,33.4,39.8,26.4,21.4,12.5,28.1,2.581818181818182
"Trout, Mike",2020,27,0.678,0.46,0.456,90.9,22.2,43.8,18.9,7.1,44.4,57.8,17.9,25.4,36.2,29.4,9,29.3,3.5283018867924527
"Harper, Bryce",2020,26,0.547,0.387,0.384,91.9,13.7,37.6,14.8,7.5,45.6,74.2,30.4,39.6,28.6,27.6,4.3,28.3,3.2758620689655173
"Abreu, Jose",2020,32,0.517,0.358,0.332,92.1,10.9,35.2,12.8,6.1,48.2,66.6,34.7,46.1,21.1,26.8,5.9,26.6,3.5
"Suarez, Eugenio",2020,27,0.5,0.355,0.341,89.3,17.7,38,13.8,6.1,40.8,67.1,24.1,36,31.6,24,8.4,25.9,2.192982456140351
"Arenado, Nolan",2020,28,0.48,0.343,0.341,89.4,17.7,34.6,8,6.8,37.6,73.1,34.8,36.8,26.2,25.2,11.7,25.9,2.5625
"Muncy, Max",2020,28,0.51,0.38,0.384,89.8,14.5,38.9,12,7.9,43.4,62.9,19.7,38.6,29.8,27.2,4.4,27.7,2.103448275862069
"Voit III, Luke",2020,28,0.495,0.365,0.364,89.7,12.7,38.5,13.2,7.3,41.5,77,22.5,40.6,27.1,29.2,3.1,25.7,3.3214285714285716
"Walker, Christian",2020,28,0.516,0.364,0.351,91.1,14.8,34.1,13.1,6.9,48.8,74.9,24,42.4,27.5,22.9,7.2,27.2,2.43859649122807
"Castellanos, Nick",2020,27,0.541,0.364,0.329,89,14,39.8,10.9,9.3,41.7,74.7,38.6,38.9,28.8,27.6,4.6,27.9,2.1166666666666667
"Machado, Manny",2020,26,0.463,0.343,0.34,91.2,13,31.2,8,8,43.7,69,28.6,42.2,25.8,21.4,10.6,26.4,3.6
"Moran, Colin",2020,26,0.437,0.314,0.308,88.2,12.5,37.1,7.4,6.5,34.8,75.5,35.8,43.9,19.3,30,6.8,25.4,1.9615384615384617
"Realmuto, J.T.",2020,28,0.469,0.341,0.332,90.3,14.4,35,8.7,7.6,41.1,70.6,32.6,39.7,23.9,28.4,8,28.8,2.595744680851064
"Rosario, Eddie",2020,27,0.494,0.327,0.289,89.2,16.8,33.2,8.5,7.1,36,80.9,43.3,37.8,29.7,23.4,9.1,27.1,2.807017543859649
"Yelich, Christian",2020,27,0.629,0.429,0.419,93.3,11.3,33.2,15.8,6.4,49.1,69.8,27.9,42.8,28.1,24.1,5.1,28.7,2.086206896551724
"Merrifield, Whit",2020,30,0.431,0.324,0.328,87,15.6,42,4.3,5.7,29,68.2,30.9,38.5,23.1,32.4,6.1,28.6,2.7666666666666666
"Bogaerts, Xander",2020,26,0.474,0.355,0.354,90.7,13.4,34.7,8.4,7,44.1,56.1,27.4,42.4,26.3,23.5,7.8,28,2.732142857142857
"Alberto, Hanser",2020,26,0.392,0.3,0.305,84.4,11.9,32.5,2.9,2.7,18.5,74.5,45.3,48.1,22.9,23.5,5.4,26.9,2.240740740740741
"Polanco, Jorge",2020,25,0.464,0.341,0.338,88,19.1,41.6,6.7,8.2,33.1,65.9,26.7,31.9,29,30.9,8.2,28.2,1.7636363636363637
"Calhoun, Kole",2020,31,0.471,0.339,0.335,89.5,14.9,35.2,11.2,8.4,42.6,73.6,25.9,41.3,28.3,25,5.4,25.9,2.8518518518518516
"Profar, Jurickson",2020,26,0.431,0.328,0.332,86.7,14,29.7,6.5,4.9,31.3,65.6,26.1,42.9,23.3,23.3,10.6,26.7,2.2142857142857144
"Baez, Javier",2020,26,0.506,0.336,0.301,91.1,7.7,36.3,12.7,5,43.6,73.5,42.6,50.4,22.5,24.7,2.4,28.7,1.11864406779661
"Lindor, Francisco",2020,25,0.464,0.333,0.328,91,12.3,29.8,7.5,4.7,41,72.3,32.1,45,22.5,24.3,8.3,27.5,2.4
"Story, Trevor",2020,26,0.464,0.341,0.334,91,17.5,36.5,8.6,7.2,46,70.4,28.5,33.8,28.1,30,8.2,29.3,2.7966101694915255
"Kepler, Max",2020,26,0.458,0.343,0.343,89.7,18.2,30.5,8.9,7.5,42.1,74,27.6,35.9,29.8,21.7,12.6,27.7,2.3541666666666665
"Bradley Jr., Jackie",2020,29,0.413,0.316,0.319,90.1,9.3,30.2,9.6,6.1,44.2,69.2,28.3,50.9,24.4,19.8,4.9,27.6,2.1818181818181817
"Nunez, Renato",2020,25,0.471,0.335,0.319,89.9,19.9,32.1,10.7,5.5,40.9,68.2,34.4,33.1,27.9,25.9,13.2,27.1,2.0961538461538463
"Ahmed, Nick",2020,29,0.422,0.321,0.322,87.8,7.6,35.7,6.6,5.5,34,72.4,27.9,48.5,22.8,24.3,4.4,28.2,2
"Anderson, Brian",2020,26,0.453,0.339,0.337,89.9,11.1,31.3,8.9,7.2,46,65.2,31.9,45.7,24.1,23.9,6.3,27,1.9322033898305084
"Bell, Josh",2020,26,0.561,0.386,0.376,92.4,13.1,34.6,12.7,7.7,47.2,77.2,27.5,44,26.9,22.8,6.3,26.8,1.368421052631579
"Betts, Mookie",2020,26,0.577,0.411,0.408,91,19.3,39.2,10.3,8.5,47.5,59.8,18.8,31.9,30.5,29.1,8.5,27.9,3.727272727272727
"Arcia, Orlando",2020,24,0.351,0.277,0.287,87.9,6.6,26.5,4.3,4.6,31.3,65.4,30.5,52.7,20.6,21.9,4.8,26.3,1.6610169491525424
"Marte, Ketel",2020,25,0.525,0.375,0.364,90,11.5,34.6,9.3,5.8,40,70.8,28.6,43.7,23.7,26.4,6.2,27.9,2.155555555555555
"Turner, Trea",2020,26,0.455,0.339,0.337,90.4,9.9,29.8,6.8,6.3,42,67.4,29.2,47.6,21.5,23.7,7.3,30.4,3.7457627118644066
"Pillar, Kevin",2020,30,0.411,0.3,0.293,86.4,14.1,33.1,4.9,5.7,30.8,73.6,46.9,45.2,21.4,23.4,10,28,2.462962962962963
"Ramirez, Jose",2020,26,0.461,0.342,0.341,89.2,19.8,32.6,6.3,7,35.7,64.4,23,33.8,29.7,25.6,10.9,27.9,3.827586206896552
"Seager, Corey",2020,25,0.459,0.331,0.322,88.8,14.3,35.2,7.3,7.1,38.2,77.7,26.9,39,28.1,26.6,6.3,26.9,3.5384615384615383
"Reyes, Franmil",2020,23,0.535,0.359,0.323,93.3,9.5,33.3,14.8,9,51,76.7,30.2,43.8,26.7,25.5,4.1,26.6,1.88135593220339
"Swanson, Dansby",2020,25,0.477,0.35,0.345,89.9,14.4,36.7,10.1,6,41.6,68.6,24.7,37.3,28.2,29.6,4.9,28.7,2.5
"Olson, Matt",2020,25,0.578,0.388,0.362,92.7,19.4,36.1,14.5,9,50.4,67,24.9,33.8,30.3,26,9.8,26.2,1.9333333333333331
"Alonso, Pete",2020,24,0.551,0.38,0.358,90.7,14.8,36.9,15.8,6.7,42.7,67.4,31.9,40.8,28.3,23.3,7.7,26.5,2.3157894736842106
"Conforto, Michael",2020,26,0.507,0.371,0.37,89.2,15.9,35.8,11.9,5.2,39.2,70.8,25.1,35.3,29.6,28.4,6.7,27.5,2.685185185185185
"Frazier, Adam",2020,27,0.403,0.318,0.334,87.1,13.1,36.4,1.9,6.4,28.3,69.6,27.1,41.9,22.9,29.1,6,27.2,1.793103448275862
"Anderson, Tim",2020,26,0.456,0.325,0.311,88.3,8.7,37.6,5.1,5.9,37.6,75.4,43.6,48.1,20.7,28.4,2.8,28.7,2.857142857142857
"Bellinger, Cody",2020,23,0.635,0.43,0.421,91.1,17.9,39.6,12.7,6.8,45.9,68.8,23.8,32.3,30.3,29.9,7.5,28.8,2.75
"Dozier, Hunter",2020,27,0.468,0.338,0.331,91.1,16.7,35.8,10,7.4,42.9,64.7,26.8,34.5,28.2,28.4,8.9,28.3,1.931818181818182
"McMahon, Ryan",2020,24,0.43,0.325,0.324,91.9,8.8,36.6,9,7.1,48,74.7,26.5,51.2,19.3,25.5,4,26.4,1.4038461538461535
"Adames, Willy",2020,23,0.437,0.32,0.313,88.5,10.8,36.1,8.4,7.1,35.6,69.2,24.7,47.4,22.3,26.2,4.2,28.3,1.648148148148148
"McNeil, Jeff",2020,27,0.465,0.35,0.354,89,13.8,34.2,4.8,7.3,36.7,84.1,38.1,43.6,24.1,26.6,5.7,27.2,2.326923076923077
"Robles, Victor",2020,22,0.368,0.294,0.305,83.3,16.7,34.5,4.8,5.5,23,71.1,30.1,42.4,21.3,24.7,11.5,29.3,0.9230769230769232
"Devers, Rafael",2020,22,0.528,0.368,0.351,92.5,10.4,33,9,9.6,48.4,75.8,37.3,44.8,22.8,25.6,6.8,27,2.3333333333333335
"Jimenez, Eloy",2020,22,0.515,0.347,0.311,91.2,9.3,32.4,12.8,7.1,47.9,71.3,33.7,47.6,23.5,22.9,6,27.8,2.581818181818182
"Schwarber, Kyle",2020,26,0.553,0.375,0.354,93.5,15.5,35.6,14.5,9,51.2,65.7,23.9,38.8,28.8,24,8.4,27.1,1.5932203389830508
"Moncada, Yoan",2020,24,0.518,0.358,0.337,93.1,12.3,40.4,12.2,7.2,47.9,67,29.2,41.8,22.7,30.7,4.7,27.7,1.6346153846153846
"Acuna Jr., Ronald",2020,21,0.574,0.39,0.365,90.6,14.2,40.5,15,9.1,47.4,68.7,24,38.5,29.4,27.3,4.8,29.4,3.347826086956522
"Fletcher, David",2020,25,0.371,0.319,0.352,83.8,9.9,37.5,0.2,2.6,17.1,49,22.5,44.4,15.9,32.6,7.1,27.6,2.7346938775510203
"Guerrero Jr., Vladimir",2020,20,0.435,0.329,0.326,89.4,6.7,30.9,7.7,6.1,38.7,69.2,29,50.4,20,22.7,6.9,26.3,2.533333333333333
"Soto, Juan",2020,20,0.575,0.409,0.405,92,12.5,36.3,12.3,8.7,47.8,66.7,20.3,42.8,26.9,26.7,3.6,27.3,4.276595744680851
"Reynolds, Bryan",2020,24,0.474,0.359,0.361,89.5,9.4,37,6.7,5.1,41.6,72.1,28.1,47.2,20.9,28.7,3.2,28.1,1.3454545454545457
"Cabrera, Miguel",2021,37,0.52,0.379,0.366,93.2,12.1,36.8,9.7,5.8,49.7,70.5,29.9,42.6,21.9,30.3,5.2,23.1,1.7461538461538462
"Cruz Jr., Nelson",2021,39,0.545,0.383,0.369,91.6,9.4,39.4,15,3.9,47.2,68.5,30.8,47.2,21.3,26,5.5,25.2,2.4857142857142858
"Peralta, David",2021,32,0.375,0.299,0.304,89.2,6.4,29.4,5,6.3,36.3,65.5,26.6,51.2,18.8,25.6,4.4,27,1.8133333333333332
"Blackmon, Charlie",2021,33,0.426,0.331,0.34,86.9,13.5,38.5,4.9,5.5,29.7,70.2,29.8,38.5,24.7,30.8,6,26.8,2.2066666666666666
"McCutchen, Andrew",2021,33,0.484,0.358,0.346,89.7,18.2,36.5,8.2,8.8,41.2,58.8,21.4,35.3,27.1,28.2,9.4,27.4,2.2708333333333335
"Votto, Joey",2021,36,0.478,0.369,0.377,87.4,15.4,36.4,9.1,9.8,35.7,57.1,17.3,39.9,37.8,21,1.4,25.2,2.9069767441860463
"Santana, Carlos",2021,34,0.448,0.372,0.393,88,12.2,32.3,6.7,8.5,36.6,61.4,16.6,43.3,26.2,21.3,9.1,25.5,1.9873417721518989
"Brantley Jr., Michael",2021,33,0.413,0.325,0.327,88.7,10.2,34.5,4.9,6.3,37.3,59.3,20,47.9,26.1,23.2,2.8,26.2,2.487603305785124
"Gurriel, Yuli",2021,36,0.408,0.318,0.314,89.3,13.9,34.4,3.7,7.4,36.5,66,34.4,38.1,27,27.5,7.4,27.3,2.804195804195804
"Escobar, Eduardo",2021,31,0.396,0.306,0.317,88.6,18.1,34.8,5.5,3.7,31.7,70.3,35.2,38.4,27.4,26.2,7.9,28,2.404109589041096
"Martinez, J.D.",2021,32,0.443,0.318,0.306,89.5,14.7,39.6,11,7.8,41.6,73.9,30.8,35.1,35.1,27.3,2.6,25.9,2.641891891891892
"Goldschmidt, Paul",2021,32,0.51,0.396,0.403,89.2,11.7,42.3,10.7,7.4,40.9,61.1,22.5,34.9,24.8,34.2,6,26.4,2.8734177215189876
"Altuve, Jose",2021,30,0.349,0.288,0.296,86.7,9.3,24.8,4.6,5.9,33.3,67.9,35.3,51,22.2,19,7.8,28.4,3.2465753424657535
"Hernandez, Cesar",2021,30,0.396,0.33,0.346,89.1,5.6,37.3,4,6.8,37.3,65,22.9,50.8,14.1,32.8,2.3,28.5,1.953020134228188
"Segura, Jean",2021,30,0.391,0.318,0.334,87.7,11.2,31.8,6.1,3.4,38.5,65.1,31.5,49.3,18.9,21.6,10.1,28.3,2.50381679389313
"Marte, Starling",2021,31,0.42,0.326,0.326,87.1,6.5,30.3,6.4,4.3,30.3,73,34.9,54.8,22.3,20.2,2.7,28.5,2.908333333333333
"Freeman, Freddie",2021,30,0.663,0.466,0.463,92.4,17.2,49.2,14.7,4.5,54.2,77.7,25.8,32.8,28.8,32.2,6.2,26.4,3.088050314465409
"LeMahieu, DJ",2021,31,0.46,0.366,0.376,91.3,2.3,29.7,2.9,9.1,45.7,64,24,57.1,15.4,25.7,1.7,26.1,2.2666666666666666
"Rizzo, Anthony",2021,30,0.413,0.355,0.383,87.7,16.7,34.7,7.8,4.8,34.7,56,31.7,40.1,22.2,26.3,11.4,24.8,2.2907801418439715
"Garcia, Avisail",2021,29,0.375,0.317,0.339,87.4,8.7,37.1,3.8,8.3,37.1,78.7,34.4,48.5,18.9,27.3,5.3,28,2.259259259259259
"Villar, Jonathan",2021,29,0.287,0.261,0.288,86.7,1.6,18.7,1.5,3.7,35.8,74.7,33.6,59.7,12.7,20.1,7.5,27.1,1.5633802816901408
"Aguilar, Jesus",2021,30,0.452,0.345,0.348,89.3,16,37.5,7.2,5.9,37.5,63.8,31.9,37.5,22.4,32.2,7.9,24.5,2.2977099236641223
"Crawford, Brandon",2021,33,0.398,0.309,0.311,88.7,12.4,35.4,9.4,4.7,39.4,78.3,31.7,41.7,26,26.8,5.5,25.7,2.7753623188405796
"Grossman, Robbie",2021,30,0.399,0.328,0.344,89,15.2,33.6,5.5,7.8,37.5,65.9,21.7,39.8,28.9,23.4,7.8,27.5,2.2371794871794872
"Semien, Marcus",2021,29,0.352,0.287,0.293,86.2,19.3,32.9,5,6.8,28.6,70.7,18.7,32.9,32.3,22.4,12.4,28.1,3.1049382716049383
"Grichuk, Randal",2021,28,0.468,0.333,0.312,88.9,12.6,27.2,11.2,6.5,39.6,71.3,33.9,42.6,23.7,23.1,10.7,27.7,1.8053691275167785
"Harper, Bryce",2021,27,0.658,0.454,0.451,92.5,16,33.3,17.3,4,50.7,73.4,28.3,40,33.3,22,4.7,27.9,3.2907801418439715
"Abreu, Jose",2021,33,0.587,0.399,0.357,92.9,10.9,37.4,14.3,9.3,53.3,68.6,32.3,45.1,24.2,26.4,4.4,26.8,2.5921052631578947
"Suarez, Eugenio",2021,28,0.472,0.342,0.325,89.1,17.9,29.5,14.4,5.3,44.7,63.4,23.9,36.4,37.1,18.9,7.6,25.9,1.7310344827586206
"Arenado, Nolan",2021,29,0.392,0.288,0.289,87.8,19.1,27.1,5.4,4.2,33.7,66.2,32.4,36.7,25.9,21.1,16.3,24.8,2.770700636942675
"Muncy, Max",2021,29,0.473,0.36,0.362,88.5,14.2,29,12.4,8.3,40,59.6,15.9,44.8,33.1,16.6,5.5,27.3,2.888888888888889
"Seager, Kyle",2021,32,0.472,0.365,0.371,89.1,17.7,30.7,10.2,6.3,39.8,62.5,20.6,36.4,36.4,19.3,8,25.4,2.1320754716981134
"Yastrzemski, Mike",2021,29,0.488,0.364,0.36,88.2,18.4,35,10.9,9.5,42.3,58.6,19.7,38.7,29.2,21.2,10.9,27.5,2.0431654676258995
"Canha, Mark",2021,31,0.415,0.359,0.387,89.7,19.4,37.3,7.7,8.5,39.4,57.8,19.2,33.8,31.7,26.1,8.5,27.6,2.2411347517730498
"Castellanos, Nick",2021,28,0.545,0.375,0.343,91,16.5,39.3,16,6.7,46.7,73.4,35.8,36,30,29.3,4.7,27.7,3.072463768115942
"Machado, Manny",2021,27,0.54,0.385,0.372,90.2,15.6,34.6,11,3.7,43.5,72,23.9,38.2,24.1,27.2,10.5,26.4,2.92156862745098
"Realmuto, J.T.",2021,29,0.498,0.356,0.331,90.2,11.6,32.8,13.6,5.6,42.4,66.9,25.2,48.8,25.6,18.4,7.2,28.2,2.074626865671642
"Merrifield, Whit",2021,31,0.439,0.336,0.334,86.1,15.8,39.8,5.1,4.6,27.3,71.8,28,37.5,29.2,28.7,4.6,28.4,2.5308641975308643
"Bogaerts, Xander",2021,27,0.474,0.341,0.327,89,8.7,31.3,8.6,5.5,36.8,64.3,23.7,45.4,27.6,22.1,4.9,27.7,2.6666666666666665
"Polanco, Jorge",2021,26,0.381,0.304,0.308,86.6,16.1,39,2.8,5.1,33.3,64.4,23.2,37.3,27.7,27.1,7.9,27.8,2.8223684210526314
"Sano, Miguel",2021,27,0.483,0.326,0.288,95.2,20.2,31.3,22.9,9.4,57.3,70.3,28,37.5,29.2,22.9,10.4,26.5,1.7777777777777777
"Duvall, Adam",2021,31,0.516,0.342,0.294,88.1,22.9,30.7,13.9,5.1,40.1,66.5,32.7,29.9,39.4,18.2,12.4,28,2.041095890410959
"Baez, Javier",2021,27,0.385,0.279,0.256,89.4,10.3,24.8,8.1,7.4,40.3,73.3,38.7,50.3,22.8,18.1,8.7,27.9,2.0072463768115942
"Lindor, Francisco",2021,26,0.441,0.346,0.356,89.9,13.5,36.5,5.6,9.1,41.1,72.3,30,39.6,24.4,31.5,4.6,27.4,2.352
"Story, Trevor",2021,27,0.457,0.335,0.323,89.9,20.8,40.1,8.7,7.6,41.3,66.6,28.2,29.7,30.2,29.1,11,29,2.4295774647887325
"Candelario, Jeimer",2021,26,0.471,0.356,0.351,90.2,13.3,37.5,10.3,6.6,47.1,68,26.1,40.4,24.3,30.1,5.1,26.9,2.140939597315436
"Bell, Josh",2021,27,0.381,0.297,0.308,91.7,5.9,24.3,8.6,3.6,42.9,72.5,26.9,56.4,19.3,19.3,5,26.2,2.5277777777777777
"Betts, Mookie",2021,27,0.485,0.362,0.359,90.7,18.5,40.1,7.7,11,43.4,58,23.2,33,31.3,29.1,6.6,28.3,3.0327868852459017
"Tapia, Raimel",2021,26,0.325,0.285,0.305,85.3,1.8,28.7,2,2.7,30,71.3,30.7,56,17.3,24,2.7,28.2,2.180451127819549
"Hernandez, Teoscar",2021,27,0.614,0.401,0.346,93.3,15.3,40.6,18,4.7,53.1,62.9,30.9,38.3,30.5,27.3,3.9,28.3,2.769230769230769
"Turner, Trea",2021,27,0.515,0.383,0.369,90.5,9.5,34.2,9.5,6,40.7,67.5,27.2,44.7,23.1,26.6,5.5,30.1,3.1486486486486487
"Ramirez, Jose",2021,27,0.507,0.373,0.362,88.7,23.2,36.7,10.2,6.2,35.6,63.2,22.7,29.9,29.4,24.9,15.8,27.2,3.4407894736842106
"Gallo, Joey",2021,26,0.418,0.317,0.31,91.2,26.8,28.9,14,4.4,43.9,67.1,19.1,31.6,33.3,17.5,17.5,27.1,1.954248366013072
"Swanson, Dansby",2021,26,0.474,0.354,0.341,89.1,14.7,40.7,11.4,4.8,40.7,70.9,24,38.9,29.3,27.5,4.2,28.5,2.025
"Taylor, Chris",2021,29,0.488,0.371,0.368,88,9.1,35.1,11.5,8.4,45,73.7,17.3,48.1,20.6,28.2,3.1,28.4,2
"Correa, Carlos",2021,25,0.402,0.315,0.319,88.8,11.3,26.1,5.9,6.5,42.1,65.7,31.8,49.7,20.9,20.3,9.2,27.2,2.864864864864865
"Olson, Matt",2021,26,0.453,0.34,0.336,92.3,19.6,30.1,12.8,8.3,45.9,67.6,20,35.3,29.3,22.6,12.8,25.9,3.1794871794871793
"Alonso, Pete",2021,25,0.466,0.335,0.323,90.2,15.5,30.4,12.8,4.7,41.2,65.3,30.5,39.9,29.7,19.6,10.8,26.2,2.6447368421052633
"Frazier, Adam",2021,28,0.378,0.309,0.317,85.5,12.3,34.9,4,2.9,25.1,68.9,24.7,45.1,22.3,24.6,8,27.1,2.270967741935484
"Cronenworth, Jake",2021,26,0.535,0.393,0.383,89.8,10.6,37.8,10.5,5.6,42.7,58.1,19,44.8,25.2,27.3,2.8,28.7,2.598684210526316
"Anderson, Tim",2021,27,0.508,0.358,0.33,87.2,6.7,33.3,10.1,4.4,35.8,73,39.3,56,22,20.8,1.3,28.7,2.6260162601626016
"Crawford, J.P.",2021,25,0.36,0.318,0.343,85.8,11.5,34.1,1.8,6.6,31.1,58.3,22.9,44.3,17.4,28.7,9.6,26.6,2.01875
"Dozier, Hunter",2021,28,0.385,0.331,0.351,86.4,17,26.4,8.2,2.7,30.9,64.1,24.4,39.1,25.5,24.5,10.9,28,1.3541666666666667
"McMahon, Ryan",2021,25,0.389,0.296,0.286,90.1,9.2,27.1,11.2,4.7,43,67.7,27.2,50.5,28,16.8,4.7,25.9,2.1258278145695364
"Adames, Willy",2021,24,0.394,0.307,0.305,88.8,12.5,36.9,9.9,9,40.5,69.1,26.3,45,17.1,27,10.8,28.2,2.107142857142857
"Kiner-Falefa, Isiah",2021,25,0.34,0.294,0.312,87.2,0.8,22.2,2.2,2.8,31.1,65.5,27.4,61.7,16.1,18.9,3.3,28.1,1.9746835443037976
"Devers, Rafael",2021,23,0.46,0.328,0.304,93,10.6,33.3,12.1,5.5,43.6,74.1,38.6,46.1,23,26.1,4.8,26.5,2.923076923076923
"Verdugo, Alex",2021,24,0.369,0.299,0.305,87,5.9,31.2,6.4,5.1,34.4,57.8,27.8,52.2,19.1,22.9,5.7,27.5,2.356164383561644
