player,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,fpoints_g
"Merrifield, Whit",2022,32,0.383,0.301,0.306,86.9,14.1,40,3.5,7.2,28.8,71.3,29,41.7,25.8,26.7,5.8,28.6,2.0575539568345325
"Bogaerts, Xander",2022,28,0.468,0.359,0.359,89.6,12.5,36.4,9.7,5.9,43,62.4,31,40.2,23.9,28.8,7.1,27.7,2.3866666666666667
"Baez, Javier",2022,28,0.455,0.325,0.299,90.1,10.6,32.7,13.4,7.2,45.2,75.8,44.6,46.7,24.9,20.6,7.8,28.6,1.6458333333333333
"Lindor, Francisco",2022,27,0.453,0.345,0.345,90.7,14.4,35.6,8.2,7.7,44.1,70.8,26.2,41.6,29.9,21.9,6.6,27.8,2.670807453416149
"Bell, Josh",2022,28,0.488,0.367,0.363,92.5,4.9,28.5,8.8,6.8,52,74.1,23.8,54.3,21.3,22,2.5,26.2,2.3141025641025643
"Betts, Mookie",2022,28,0.445,0.357,0.369,90.3,18.9,34,7.8,7.5,41,63.9,18.1,34.8,33,23.6,8.6,27.1,3.288732394366197
"Hernandez, Teoscar",2022,28,0.536,0.37,0.336,91.8,13.1,37.4,13.9,7.7,49,75.8,30.7,39.4,27.5,27.7,5.4,28.5,2.145038167938931
"Turner, Trea",2022,28,0.485,0.364,0.355,89.6,11.4,34.6,7.4,5.3,46.2,72.4,26.4,45.6,23.5,24.5,6.3,30.7,2.7875
"Ramirez, Jose",2022,28,0.508,0.376,0.373,90,18.2,33.4,11.1,4.9,42.4,64.5,24.1,36.2,27,24,12.8,28.2,3.388535031847134
"Swanson, Dansby",2022,27,0.455,0.332,0.316,89.3,14.1,36.8,11.4,6.1,42.7,72.4,24.1,40.1,28.9,24.5,6.5,28.4,2.259259259259259
"Correa, Carlos",2022,26,0.482,0.373,0.38,90.2,12.1,33.5,9.4,7.4,42.7,62,24.1,42.5,23.4,26.1,8.1,26.9,2.338235294117647
"Olson, Matt",2022,27,0.507,0.378,0.374,91.6,16.2,32.4,12.7,7.8,48.8,72.2,23.7,40.4,30.2,19.7,9.7,25.9,2.3950617283950617
"Alonso, Pete",2022,26,0.542,0.377,0.352,91,14.7,34.5,14.8,8.2,47.3,70.9,30.8,39,30.8,22.8,7.3,26,2.99375
"Frazier, Adam",2022,29,0.376,0.324,0.353,85.4,12.6,38.9,1,4.7,25.2,67.9,26.1,42.4,20.3,31.3,6.1,27.1,1.6346153846153846
"Cronenworth, Jake",2022,27,0.443,0.344,0.351,88.6,12.5,35.8,7.2,3.9,35,62.5,23.5,43.1,23.6,26.1,7.2,28.5,2.1962025316455698
"Crawford, J.P.",2022,26,0.339,0.298,0.325,86.3,9.8,34.3,2.4,3.7,30.6,64,21.7,46.7,17.8,28.6,6.9,27.5,1.820689655172414
"Mancini III, Trey",2022,29,0.452,0.341,0.337,88.9,9.7,36,10.4,8,42,65.8,30.8,49,22.7,23.2,5.1,26.6,1.6783216783216783
"McMahon, Ryan",2022,26,0.426,0.325,0.323,90.5,14.3,40.2,7.3,9.8,43.5,73.2,24.4,39.4,28,27.7,4.9,26.2,1.712418300653595
"Rosario, Amed",2022,25,0.368,0.3,0.31,88.8,5.5,32,2.8,4.6,43.5,64,34.7,51.4,18.9,25.1,4.6,29.5,2.261437908496732
"Adames, Willy",2022,25,0.438,0.325,0.314,89.5,16.8,35.1,11.4,7.6,44.7,72.2,27.5,37.1,36,21.6,5.3,28,2.3741007194244603
"Benintendi, Andrew",2022,26,0.456,0.331,0.313,89.6,15.4,38.5,8.9,6.7,43.2,73.9,30.1,39.5,34.5,21.8,4.2,27.6,2.1587301587301586
"Kiner-Falefa, Isiah",2022,26,0.349,0.292,0.309,85.5,5.4,31.6,1.8,3.5,28.8,62.6,30.7,54.4,15.5,25.9,4.2,28,1.8098591549295775
"Devers, Rafael",2022,24,0.567,0.394,0.366,92.9,13.1,35.2,15,7.3,51.8,77.7,32.4,42.3,26.3,23.9,7.5,26.8,2.8368794326241136
"Torres, Gleyber",2022,24,0.423,0.331,0.336,87.1,14.2,37.1,7.8,5.8,35.7,70.8,22.7,41.8,26.3,25.8,6.1,27,2.1857142857142855
"Diaz, Yandy",2022,29,0.399,0.332,0.353,89.9,6.6,28.9,7,5.2,40.6,67,18.9,52.1,22.7,19.5,5.7,26.5,2.5474452554744524
"Chapman, Matt",2022,28,0.423,0.321,0.315,89.7,18.6,32.1,13.7,4.8,41.7,66.5,22.9,33.6,37.8,18.8,9.8,28.1,1.8838709677419352
"Mullins II, Cedric",2022,26,0.447,0.344,0.344,89.4,14.8,35.7,8.1,4.1,39.4,64.8,27.7,40.7,27.8,23.9,7.7,28.5,2.2628205128205128
"Verdugo, Alex",2022,25,0.446,0.342,0.348,90,7.7,34.9,7.3,5.3,43.3,62.3,26.4,50.3,21,24.3,4.4,27,2.276315789473684
"Ohtani, Shohei",2022,26,0.616,0.411,0.385,93.6,16.6,35.4,22.3,6.6,53.6,69.7,27.3,39.7,34.6,20.9,4.9,28.8,2.6178343949044587
"Riley, Austin",2022,24,0.511,0.366,0.348,90.1,14.2,36.5,13.3,8.6,45.6,72.2,31.1,38.8,24.9,28.6,7.7,27.8,2.509433962264151
"Mountcastle, Ryan",2022,24,0.457,0.326,0.303,89.1,16.3,38.9,11.8,6.1,39.7,76,38.2,35.5,33.9,24.7,5.8,28.1,1.896551724137931
"Tucker, Kyle",2022,24,0.576,0.396,0.369,91.4,17.6,42,11.6,11.6,47.5,80.9,26.4,34,33.5,27.1,5.5,27.4,2.8466666666666667
"Grisham, Trent",2022,24,0.368,0.309,0.328,88.8,12.3,31,5.2,6,36.8,63.6,16.8,42,23.3,26.4,8.3,28.8,1.1776315789473684
"Lowe, Nathaniel",2022,25,0.401,0.323,0.333,90.8,5,31.4,9.5,4.5,45.5,66.4,22.9,54.5,23.4,20.9,1.3,27.3,2.1974522292993632
"Happ, Ian",2022,26,0.396,0.317,0.32,89.5,9.9,30.8,10.9,5.1,41.3,65.7,23.1,47.1,28.2,20.2,4.5,27.7,1.9873417721518989
"France, Ty",2022,26,0.435,0.346,0.353,88.5,11,35.9,6.8,5.3,38.9,72.1,30,46.7,21.2,26.5,5.5,25.3,2.35
"Straw, Myles",2022,26,0.333,0.303,0.336,87.1,11.9,42.6,1.3,2.9,26.2,59.6,19.1,41.1,24.6,31.5,2.9,29.3,1.5657894736842106
"Guerrero Jr., Vladimir",2022,22,0.59,0.417,0.399,95.1,9.4,33.7,15.1,8.9,55.2,73.8,24.5,45.6,25.2,24.4,4.8,26.8,2.76875
"Soto, Juan",2022,22,0.545,0.429,0.463,93,5.8,29.7,13.3,5.3,52.7,60,12.2,52.9,20.8,22.5,3.9,27,2.8562091503267975
"Bichette, Bo",2022,23,0.489,0.355,0.337,91.4,7.3,33.5,9.9,4.3,47.5,79.6,38.1,49.3,22.3,23.9,4.5,28,2.4465408805031448
"Garcia, Adolis",2022,28,0.422,0.299,0.267,91,14.7,29.4,11.5,6.1,45.5,74.7,35.7,43,30.7,19.7,6.6,28.4,2.2243589743589745
"Arozarena, Randy",2022,26,0.369,0.304,0.313,89.9,7.6,29.7,8.2,5.8,42.3,66.4,24.8,49.2,20.6,22.8,7.4,28.8,2.248366013071895
"Reynolds, Bryan",2022,26,0.523,0.386,0.384,89.4,13.4,39.9,10.4,6.8,40.8,75.4,24.8,39.9,28.6,26.8,4.5,28.7,2.1241379310344826
"Rojas, Josh",2022,27,0.357,0.299,0.318,88.2,8.4,40.7,4.8,4.6,31.1,62.9,21.2,49.6,20.8,27.6,2,27.6,2.2
"Edman, Tommy",2022,26,0.401,0.316,0.32,87.5,9.5,31.5,4.2,5.8,35.1,65.6,28.2,46.9,23.7,24.5,4.9,28.9,2.287581699346405
"Hays, Austin",2022,25,0.432,0.316,0.298,88.8,12.5,32.2,9.1,5.2,39.2,64.4,29.5,43.4,26.8,22.6,7.3,27.4,1.8551724137931032
"Alvarez, Yordan",2022,24,0.57,0.389,0.351,93.2,14.1,37.2,15.9,7.6,54.2,61.9,26.3,38,30.1,27.6,4.3,26.3,3.3555555555555556
"Choo, Shin-Soo",2019,35,0.464,0.362,0.365,89.3,6.1,35.9,11.1,6.9,40.5,61,22,51.1,20.6,26.3,2,26,2.23841059602649
"Jones, Adam",2019,32,0.411,0.311,0.303,88.3,13.2,35.6,4.9,5.3,33.1,72.9,39.5,43.6,21.8,25.9,8.8,26.7,1.9416058394160585
"Cruz Jr., Nelson",2019,37,0.566,0.396,0.365,93.9,12.8,31.3,13.8,7,51.7,68.7,28.4,44.8,27,20.3,8,24.9,3.3666666666666667
"Longoria, Evan",2019,32,0.426,0.309,0.289,88.5,13.6,32.6,7.6,6,37.2,67,29.1,42.7,25.5,23.7,8.1,26.9,2.0155038759689923
"Cabrera, Asdrubal",2019,32,0.432,0.32,0.306,90,14.6,33.1,7.2,8.4,39.3,70.9,29.2,43.4,27.5,22.1,7,25.4,2.404580152671756
"Blackmon, Charlie",2019,31,0.445,0.346,0.346,87.5,12,34.9,6.5,4.8,35.2,66,29.2,44.2,24.2,27.1,4.4,27.6,3.357142857142857
"Cain, Lorenzo",2019,32,0.389,0.342,0.373,89.1,4.9,30.9,3.4,4,40.5,63.9,21,54.6,16.1,25.3,4,28.6,1.9864864864864864
"Votto, Joey",2019,34,0.472,0.391,0.42,88.1,13.4,45.9,6.7,10.6,35.1,66.9,13.1,38,26.7,34.3,1,25.3,2.112676056338028
"Gardner, Brett",2019,34,0.334,0.293,0.315,88,9.4,30.6,2.8,5.1,32.9,52.8,21,49.8,21.3,22.9,6,29.2,2.5602836879432624
"Gordon, Alex",2019,34,0.423,0.329,0.331,88.5,10.9,36.5,6.8,6.5,39.7,65.5,28.5,44.3,21.4,28.6,5.5,25.5,2.193333333333334
"Santana, Carlos",2019,32,0.418,0.347,0.368,88.9,15.4,30.1,6.9,6.7,39.1,64,21,41.5,24.8,21.1,12.6,26,3.1772151898734178
"Brantley Jr., Michael",2019,31,0.452,0.357,0.365,90.2,9.5,38.3,3.5,6,38.4,65.2,23.7,46.2,18,31.1,4.6,26,3.074324324324324
"Gurriel, Yuli",2019,34,0.36,0.29,0.296,89.3,11.5,32.6,1.9,5.2,36.6,68.7,34.5,44.9,20.2,25.8,9.1,27.6,3.2708333333333335
"Rojas, Miguel",2019,29,0.351,0.293,0.309,84.7,9.3,35.2,0.9,3.1,23.8,65.5,32.2,47.7,16.4,27.9,8,26.5,1.9696969696969695
"Escobar, Eduardo",2019,29,0.43,0.323,0.316,86.5,18.9,38.6,8.3,6.7,27.6,72.4,35.3,33.3,29.7,27.9,9.2,27.9,2.9240506329113924
"Davis, Khris",2019,30,0.566,0.376,0.329,92.5,18.1,37.7,17.2,7.6,48.1,76,23.2,35.5,32.8,23.3,8.3,26.1,1.6616541353383458
"Pham, Tommy",2019,30,0.498,0.376,0.373,93,6.6,38.7,10.1,8.1,49.9,59.8,19.1,48.2,19.9,29.1,2.8,28.7,2.641379310344828
"Martinez, J.D.",2019,30,0.619,0.418,0.383,93,10.8,40,16,8.8,52.7,74.7,29.3,44.4,25.6,27.9,2.1,26.7,3.143835616438356
"Goldschmidt, Paul",2019,30,0.533,0.384,0.373,90.8,15.7,37.1,13.6,9.3,44,61.9,26,38.8,22.9,29.5,8.8,26.8,2.440993788819876
"Altuve, Jose",2019,28,0.449,0.352,0.36,87.2,10.1,34,5.9,5.2,33.8,68,30.2,48.1,22.4,25.5,3.9,28.1,3.25
"Hernandez, Cesar",2019,28,0.352,0.316,0.35,85.8,11.5,30,4.2,2.9,28.6,58.6,18,49.1,23.1,22.5,5.3,29.2,2.186335403726708
"Segura, Jean",2019,28,0.393,0.31,0.313,87.7,7.8,30,3.6,4.2,32.3,66.4,32,53.1,19.5,21.1,6.3,27.9,2.4166666666666665
"Castro, Starlin",2019,28,0.402,0.311,0.311,88.5,8.4,32,6.9,4.2,36.2,65,27.4,51.6,18.7,24.8,4.8,27.4,2.1604938271604937
"Marte, Starling",2019,29,0.456,0.335,0.319,88.4,8.9,31.5,7.5,6.2,38.8,75.8,34.2,51.5,21.6,20.7,6.2,28.6,3.0757575757575757
"Freeman, Freddie",2019,28,0.533,0.388,0.381,89.1,14.5,44.7,9.3,7.9,39.8,82.7,31.1,37,24,35.4,3.7,26.7,3.3417721518987342
"Grandal, Yasmani",2019,29,0.438,0.337,0.335,88.9,14.1,32.9,11.6,7.2,40.4,57.6,19.8,41.1,27.6,22.3,9.1,24.5,2.42483660130719
"LeMahieu, DJ",2019,29,0.42,0.326,0.324,91.3,5.9,31.3,5.2,5.7,43.2,59.6,23.2,50.4,21.5,25.9,2.2,27.2,3.337931034482758
"Moustakas, Mike",2019,29,0.461,0.336,0.321,89.5,19.9,31.3,8.8,6.5,39.1,72.5,34.2,35.1,27.9,23.1,13.9,25.7,2.762237762237762
"Rizzo, Anthony",2019,28,0.47,0.367,0.386,90.1,14.7,36.2,6.5,7.1,40.6,68,29.7,38.8,25.5,28.3,7.5,25.6,3.006849315068493
"Galvis, Freddy",2019,28,0.341,0.273,0.276,88.6,13.7,32.3,3.9,6.1,28.9,67.9,35,42.6,25.5,26,5.8,26.8,1.8231292517006803
"Ozuna, Marcell",2019,27,0.497,0.358,0.332,91.5,10.8,30.3,9.7,6.9,45.1,72.3,27.8,47.7,23.9,21,7.4,27.8,2.753846153846154
"Villar, Jonathan",2019,27,0.351,0.288,0.293,88.5,3.2,27.2,5.1,4.8,36,72.2,27.8,57.4,15.1,22.7,4.8,27.7,2.4691358024691357
"Crawford, Brandon",2019,31,0.376,0.305,0.326,87.5,11.3,37.2,3.6,6.3,33.3,75.7,29.8,44.4,21,28.3,6.3,25.7,1.5714285714285714
"Hosmer, Eric",2019,28,0.374,0.302,0.312,88.7,-1.5,26.3,5.9,4,38.2,70.7,29.3,61,13.1,21,4.9,26.2,1.94375
"Kipnis, Jason",2019,31,0.394,0.318,0.324,86.9,17.8,34.4,6.6,5,31.6,61.3,25.9,34.8,28.7,27.3,9.2,26.9,2.1818181818181817
"Rendon, Anthony",2019,28,0.538,0.384,0.369,90.7,17.9,39.8,10.3,8.1,44.8,69.5,23.8,32.7,27.9,30.8,8.6,27.3,3.8904109589041096
"Semien, Marcus",2019,27,0.38,0.305,0.311,86.8,15.5,34.9,4.5,6.7,32.1,64.4,23.6,39.8,24.7,26.7,8.8,28.3,3.4135802469135803
"Springer III, George",2019,28,0.459,0.346,0.336,88.6,9.5,30.1,8.9,6.6,37.4,67.1,21.8,50.1,25.4,18.6,5.9,27.7,3.5655737704918034
"Trout, Mike",2019,26,0.602,0.434,0.446,91.2,18.6,41,16.5,8.3,46.2,57.7,18.1,31.3,33.3,28.2,7.1,29.3,3.8656716417910446
"Harper, Bryce",2019,25,0.518,0.391,0.406,91,14.4,35.1,11.5,8.7,45.4,74.6,25.3,41,27.4,26.2,5.4,27.6,2.8025477707006368
"Abreu, Jose",2019,31,0.493,0.356,0.341,91.3,12.2,35.4,9.1,7.6,45.2,65,34.8,44.2,19.9,28.3,7.6,26.7,2.59748427672956
"Suarez, Eugenio",2019,26,0.515,0.373,0.362,91.2,14.8,38.6,9.7,8.4,45.6,68.3,21.8,39.4,30.7,26.6,3.3,26.2,2.5345911949685536
"Sanchez, Carlos",2019,26,0.344,0.289,0.301,86.7,9.3,35.1,3,4.5,28.3,64.7,31.4,51.2,17.1,25.9,5.8,28.1,1.2953020134228188
"Arenado, Nolan",2019,27,0.48,0.354,0.35,89.8,15.3,35.6,7.2,8.4,40.5,72.5,30.2,40.4,24.4,26.5,8.6,25.7,3.4516129032258065
"Castellanos, Nick",2019,26,0.525,0.374,0.353,89.6,15.2,45.3,11.2,7.8,40.7,77.1,35.5,36.7,24.6,33.7,5.1,27.8,2.622516556291391
"Machado, Manny",2019,25,0.512,0.369,0.357,91.6,14.4,33.8,11.3,7.7,48.2,72.7,28.5,40,26.8,24,9.2,26.1,2.4294871794871793
"Realmuto, J.T.",2019,27,0.472,0.351,0.337,88.9,14.5,39.8,9,5.6,41.2,66.8,25.9,39.8,25.7,27.3,7.2,28.7,2.5310344827586206
"Rosario, Eddie",2019,26,0.424,0.302,0.281,87.7,17.8,32.5,8.3,5.9,34.2,77.8,41.9,37.8,28.2,23.4,10.7,28,3.065693430656934
"Yelich, Christian",2019,26,0.57,0.416,0.398,92.6,5,36.7,12.9,7.9,50.8,65.2,25,52.8,16.8,27.4,2.9,28.6,3.976923076923077
"Merrifield, Whit",2019,29,0.428,0.343,0.35,87,16.9,40.9,4.6,6.8,31.2,67.7,29,35.9,24.5,31,8.6,29.1,2.6728395061728394
"Bogaerts, Xander",2019,25,0.493,0.363,0.352,90.6,12.6,32.9,9.8,6.5,41.8,60.6,26.7,43.4,24.5,24,8.2,27.9,3.393548387096774
"Calhoun, Kole",2019,30,0.447,0.332,0.32,90.4,12.1,34.3,9.3,8.2,43.1,73.4,27.1,45.1,28.8,23.6,2.5,26.1,2.210526315789474
"Profar, Jurickson",2019,25,0.394,0.323,0.333,87.3,12.4,33.6,5,4.3,31.8,68.3,30.2,44.5,21.6,25.7,8.2,27.6,2.172661870503597
"Baez, Javier",2019,25,0.504,0.344,0.306,90.6,9.6,33.1,12.6,6.1,43.3,77.3,43.5,47.1,22.1,23.6,7.2,28.9,2.4565217391304346
"Lindor, Francisco",2019,24,0.512,0.375,0.364,90.6,14.7,34.3,9.3,8.4,41,67.8,29.8,40,25.5,25.9,8.6,28.4,3.1818181818181817
"Odor, Rougned",2019,24,0.409,0.317,0.317,90.7,13.9,30.5,7.1,7.3,38.7,65.4,33.1,44.9,22.6,23.2,9.3,28.2,1.9586206896551723
"Story, Trevor",2019,25,0.513,0.358,0.326,91,15.9,38.2,12.7,7.6,46.2,73.1,28.5,35.5,29,28.3,7.1,29.7,2.9586206896551723
"Kepler, Max",2019,25,0.404,0.324,0.33,89.5,16.3,30.1,6.6,7.5,38.2,65,21,37.8,29.2,23.9,9.1,27.9,3.1492537313432836
"Bradley Jr., Jackie",2019,28,0.459,0.343,0.335,92.2,12.3,35.2,10.3,8.2,50.1,70.1,23.3,43.7,24.9,25.5,5.9,27.8,1.6870748299319729
"Ahmed, Nick",2019,28,0.373,0.292,0.295,86.9,11.9,36.3,5.1,5.8,30,71.5,30,41.6,24.5,27.4,6.5,28.2,2.221518987341772
"Anderson, Brian",2019,25,0.407,0.334,0.347,90.2,8.7,29.2,5.8,6,42.4,68.2,23.4,52.3,18.8,23.3,5.6,27.1,2.1666666666666665
"Bell, Josh",2019,25,0.417,0.34,0.354,90.2,9.4,29.6,7,6,39.3,68.5,23.1,49.8,22.6,21.4,6.2,27.1,3.2587412587412588
"Betts, Mookie",2019,25,0.606,0.431,0.41,92.2,18.5,39.4,14.1,8.1,50.6,56.6,16.2,34.3,31.6,26.5,7.6,28.1,3.6
"Smith, Mallex",2019,25,0.339,0.302,0.331,85.8,3.7,32.2,1.5,3.6,23,72.8,26,51.2,17.1,28.1,3.6,29.9,1.6791044776119404
"Marte, Ketel",2019,24,0.394,0.32,0.33,88.8,5.8,28.8,5,5.4,36.9,69.1,24,52,19.4,22.7,5.9,28.7,3.4930555555555554
"Turner, Trea",2019,25,0.415,0.335,0.347,89.1,9.3,29,5.8,4.9,38.6,64.8,23.2,49.6,20.4,24.2,5.8,30.1,3.0901639344262297
"Pillar, Kevin",2019,29,0.432,0.321,0.31,87.3,16.8,39.3,5.7,9,36.7,67,41.8,36.7,22.9,29.8,10.7,27.9,2.347826086956522
"Ramirez, Jose",2019,25,0.47,0.365,0.382,89,19,34.3,8.3,7.9,35.1,60.7,19.9,33.9,31.2,23.4,11.5,27.4,2.9767441860465116
"Bregman, Alex",2019,24,0.464,0.369,0.38,89.4,16.8,37.9,7.6,8,39.9,57.8,18.2,35.5,26.6,27.1,10.7,27.9,3.8653846153846154
"Swanson, Dansby",2019,24,0.363,0.281,0.298,88,14.1,32.1,4.1,5.2,34,69.9,31.1,44.1,21.4,25.2,9.3,29.5,2.2283464566929134
"Olson, Matt",2019,24,0.494,0.357,0.338,93.3,18.1,35.1,12.2,9.1,52.2,69.1,21,36.5,28.4,24.8,10.3,25.9,2.677165354330709
"Conforto, Michael",2019,25,0.426,0.339,0.35,88,12.5,36.3,9.5,6.7,37.4,64.4,24.2,44.6,25.3,23.7,6.4,27.8,2.615894039735099
"Anderson, Tim",2019,25,0.362,0.276,0.269,85.8,10.8,33.3,4.7,5.4,27.9,73,36.2,47.5,22.9,24.1,5.4,28.8,2.5447154471544717
"Bellinger, Cody",2019,22,0.432,0.327,0.326,89.8,16.2,32,8.6,6.8,38.9,66.1,24.4,41.3,25.2,22.2,11.2,28.9,3.7756410256410255
"Mancini III, Trey",2019,26,0.434,0.328,0.311,89.9,5.4,27.6,11.8,4.8,42.9,68.1,31.5,55.5,19.1,22.1,3.2,27,2.896103896103896
"Rosario, Amed",2019,22,0.367,0.289,0.295,87.8,7.9,32.4,3.9,4.1,32.3,69.8,37.9,50.1,18.1,25.2,6.6,29.5,2.159235668789809
"Benintendi, Andrew",2019,23,0.449,0.353,0.36,88.6,12.8,37.3,6.4,4.1,33.7,70,24.3,41.9,25.7,28.6,3.7,27.7,2.1884057971014492
