Team,avg,standardized
ARI,0.7540673339014753,0.9491810408272217
ATL,0.855278150844306,1.052617430545703
BAL,0.7317585988422644,0.9263817483858385
BOS,0.809565145460343,1.0058992201515562
CHC,0.718217879601527,0.9125432758316195
CHW,0.7658202420769682,0.9611923892886464
CIN,0.6013976440533995,0.7931542245804445
CLE,0.9325672000457699,1.1316060253980618
COL,0.8525097536579037,1.0497881577573014
DET,0.6115287866767446,0.8335081457159075
HOU,0.9729009989765938,1.172826743410763
KC,0.7232201136402676,0.9176555063730101
LAA,0.7775590518496283,0.9731893293307551
LAD,0.8612652978085944,1.0587362317312499
MIA,0.7718613626848055,0.9673663509698526
MIL,0.7923131189599496,0.9882678306377631
MIN,0.7934387990020966,0.989418263793575
NYM,0.9394229734216485,1.153612553634362
NYY,0.9788007316176343,1.1788562080779459
OAK,0.5701789394802166,0.761249037069095
PHI,0.8916709241276449,1.089810461824149
PIT,0.6956907926974523,0.8895208301028379
SD,0.9691792563204339,1.1690231615857898
SEA,0.7856854577867387,0.9814944306718137
SF,0.736927810944317,0.931664628750567
STL,0.9630917610864391,1.1628018055247222
TB,0.7855729922010718,0.9813794920269104
TEX,0.7907480801744431,0.9866683774702858
TOR,0.9713498381601496,1.2012414733816084
WSH,0.7101966123793086,0.9043456251506443
