#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
579,Wily Peralta,WSH,RP,R,32.4,0.0,0.0,140.0,32.4,1.5,1.7,0,6,4.31,4.36,1.41,27.5,13.5,32.3,1.3,15.6,16.9,4,46.2,33.8,20.0,0.299
580,Joe Ross,SF,SP,R,19.4,3.2,1.4,132.0,32.2,1.6,1.9,0,2,4.35,4.26,1.34,28.4,9.8,33.4,1.5,14.8,15.9,4,40.9,39.2,20.0,0.291
581,Tommy Henry,ARI,SP,L,17.8,3.2,1.4,134.6,31.2,1.6,1.7,0,1,4.33,4.48,1.40,26.5,12.3,31.2,1.2,14.9,16.1,4,42.4,37.2,20.3,0.300
582,Tyler Danish,NYY,RP,R,25.9,0.0,0.0,133.5,31.1,1.5,1.5,0,3,4.38,4.36,1.37,25.7,10.1,32.4,1.4,15.0,16.3,4,45.8,33.8,20.4,0.302
583,Matt Gage,HOU,RP,L,25.9,0.0,0.0,133.5,31.1,1.6,1.4,0,3,3.91,4.05,1.33,30.1,12.3,29.1,1.2,13.6,14.7,4,43.1,36.7,20.2,0.290
584,Brennan Bernardino,SEA,RP,L,25.9,0.0,0.0,134.1,31.1,1.5,1.5,0,3,3.85,3.96,1.34,29.9,12.2,29.7,1.4,13.1,14.3,4,46.0,33.7,20.2,0.295
585,Yohan Ramirez,PIT,RP,R,25.9,0.0,0.0,136.6,31.1,1.4,1.6,0,3,4.27,4.39,1.43,29.6,15.9,28.7,2.1,14.9,16.0,4,41.5,38.5,20.0,0.292
586,Connor Thomas,STL,SP,L,16.6,3.6,1.6,132.1,31.0,1.8,1.6,0,1,4.09,4.22,1.39,20.6,9.0,34.0,1.5,13.5,14.8,3,52.8,26.0,21.2,0.312
587,Silvino Bracho,CIN,RP,R,30.8,0.0,0.0,130.0,30.8,1.4,1.6,0,3,4.52,4.50,1.31,29.7,10.1,30.2,1.4,16.0,17.1,5,34.8,45.1,20.1,0.283
588,Matt Cronin,WSH,RP,L,30.8,0.0,0.0,135.2,30.8,1.4,1.6,0,3,4.69,4.84,1.47,28.5,15.1,30.3,1.2,15.7,16.8,4,38.2,40.5,21.3,0.299
589,Landon Knack,LAD,RP,R,30.8,0.0,0.0,130.2,30.8,1.6,1.5,0,3,4.02,3.94,1.29,30.5,9.6,30.0,1.3,13.6,14.6,4,41.7,37.2,21.0,0.299
590,Caleb Kilian,CHC,RP,R,25.9,1.6,0.5,129.1,30.4,1.4,1.6,0,2,3.95,4.00,1.35,28.2,11.8,29.4,1.1,13.1,14.3,3,47.0,33.1,19.9,0.305
591,Luis Frias,ARI,RP,R,27.5,0.0,0.0,129.4,30.3,1.5,1.5,0,8,3.96,4.02,1.37,31.8,14.0,27.4,1.0,13.2,14.2,3,41.1,39.2,19.7,0.302
592,Zack Kelly,BOS,RP,R,27.5,0.0,0.0,129.4,30.3,1.5,1.5,0,3,4.21,4.26,1.35,29.6,12.5,28.5,1.5,14.1,15.3,3,44.0,36.1,20.0,0.303
593,Janson Junk,MIL,RP,R,25.9,1.6,0.5,125.5,30.2,1.3,1.7,0,2,4.41,4.39,1.31,26.1,8.2,31.4,1.0,14.3,15.3,5,39.1,41.0,20.0,0.289
594,Tejay Antone,CIN,RP,R,24.6,0.0,0.0,123.3,29.5,1.5,1.4,0,7,3.81,3.77,1.27,34.4,12.0,25.6,1.3,12.8,13.9,4,41.8,38.5,19.7,0.291
595,Daniel Castano,MIA,RP,L,24.3,0.0,0.0,124.1,29.2,1.4,1.5,0,2,4.19,4.27,1.33,22.2,8.0,30.7,1.2,13.2,14.3,4,43.7,36.1,20.2,0.305
596,Nicholas Padilla,CHW,RP,R,24.3,0.0,0.0,127.8,29.2,1.4,1.5,0,2,4.59,4.63,1.47,26.8,14.3,28.7,1.4,14.7,15.8,4,43.3,36.5,20.3,0.296
597,Pedro Avila,SD,RP,R,24.3,0.0,0.0,122.6,29.2,1.5,1.4,0,2,3.80,3.84,1.32,28.8,11.5,26.9,1.4,12.3,13.3,3,44.0,36.0,20.1,0.292
598,Reiss Knehr,SD,RP,R,24.3,0.0,0.0,128.2,29.2,1.4,1.4,0,2,4.38,4.47,1.44,25.1,13.4,28.6,1.5,14.2,15.2,4,41.4,38.3,20.2,0.290
599,James Naile,STL,RP,R,24.3,0.0,0.0,122.6,29.2,1.4,1.4,0,2,4.25,4.30,1.40,19.3,9.2,31.8,1.3,13.5,14.7,3,51.3,28.3,20.4,0.308
600,Anthony Misiewicz,STL,RP,L,32.4,0.0,0.0,124.8,29.2,1.5,1.4,0,8,3.86,3.94,1.30,27.2,10.6,27.4,1.1,12.6,13.5,4,40.5,39.5,20.0,0.290
601,Elvis Peguero,MIL,RP,R,24.3,0.0,0.0,124.1,29.2,1.4,1.5,0,2,4.09,4.11,1.37,26.6,11.1,29.0,1.3,13.1,14.3,3,47.5,32.9,19.7,0.302
602,Gregory Santos,CHW,RP,R,24.3,0.0,0.0,127.0,29.2,1.4,1.4,0,2,4.07,4.10,1.39,29.4,13.8,26.9,1.4,13.4,14.5,4,45.6,34.9,19.5,0.292
603,Yennier Cano,BAL,RP,R,24.3,0.0,0.0,125.1,29.2,1.4,1.4,0,2,4.06,4.10,1.43,26.5,12.7,28.9,1.2,12.7,13.9,3,50.1,30.0,19.9,0.314
604,Easton McGee,SEA,RP,R,24.3,0.0,0.0,123.1,29.2,1.3,1.5,0,2,4.24,4.24,1.27,21.4,5.8,31.2,1.5,13.8,14.8,4,41.9,38.0,20.2,0.289
605,A.J. Alexy,CHW,RP,R,24.3,0.0,0.0,127.8,29.2,1.4,1.5,0,2,4.51,4.62,1.43,27.6,13.7,28.0,1.1,14.5,15.6,4,38.8,41.0,20.2,0.286
606,Josh Winckowski,BOS,RP,R,24.3,0.0,0.0,124.1,29.2,1.4,1.4,0,2,4.30,4.29,1.34,23.3,8.4,30.7,1.0,13.8,15.0,3,47.0,33.1,19.8,0.311
607,Edwin Uceta,DET,RP,R,24.3,0.0,0.0,124.1,29.2,1.4,1.5,0,2,3.97,4.06,1.31,29.7,12.7,25.4,1.4,12.9,13.9,4,38.0,41.9,20.1,0.285
608,Austin Warren,LAA,RP,R,24.3,0.0,0.0,126.5,29.2,1.4,1.5,0,2,4.67,4.62,1.45,23.6,11.8,30.7,1.3,14.9,16.1,4,45.1,34.7,20.2,0.303
609,Konnor Pilkington,CLE,SP,L,11.7,3.6,1.4,123.9,29.1,1.5,1.6,0,1,4.27,4.49,1.39,26.5,12.4,28.1,1.2,13.6,14.7,4,40.5,39.2,20.3,0.293
610,Cole Winn,TEX,RP,R,22.7,1.6,0.6,121.7,29.1,1.3,1.7,0,2,4.98,5.03,1.54,25.7,13.9,30.8,1.2,15.0,16.1,4,41.2,37.4,21.4,0.303
611,Joey Cantillo,CLE,SP,L,16.2,3.2,1.4,121.3,29.0,3.9,3.3,0,0,4.31,4.47,1.42,29.2,12.4,28.8,1.2,12.7,13.7,4,42.1,36.7,21.2,0.300
612,Wyatt Mills,BOS,RP,R,25.9,0.0,0.0,122.8,28.5,1.4,1.4,0,6,4.44,4.49,1.40,25.6,11.7,28.2,1.4,13.9,15.0,3,44.3,35.3,20.4,0.308
613,Codi Heuer,CHC,RP,R,28.1,0.0,0.0,120.3,28.1,1.3,1.4,0,8,4.17,4.20,1.35,25.2,10.6,27.4,1.1,13.0,14.0,3,42.2,38.0,19.8,0.298
614,JoJo Romero,STL,RP,L,30.8,0.0,0.0,117.7,27.7,1.5,1.3,0,3,3.51,3.68,1.30,28.6,11.5,24.5,1.2,10.7,11.7,3,45.9,34.3,19.8,0.297
615,Alex Reyes,LAD,RP,R,27.6,0.0,0.0,119.1,27.6,1.4,1.3,1,6,3.93,3.95,1.35,31.9,14.1,23.2,1.0,12.5,13.4,4,36.5,43.7,19.8,0.280
616,Michael Tonkin,ATL,RP,R,27.5,0.0,0.0,115.2,27.5,1.5,1.2,0,3,3.81,3.77,1.27,29.3,9.5,25.4,1.4,11.4,12.4,3,43.7,35.3,21.0,0.307
617,Trevor Bauer,FA,SP,R,5.0,5.0,2.6,110.0,27.5,1.7,1.3,0,0,3.70,3.60,1.18,29.5,8.7,23.6,1.3,11.9,12.8,4,35.9,44.2,19.9,0.274
618,Jimmy Cordero,NYY,RP,R,27.5,0.0,0.0,116.3,27.5,1.4,1.3,0,3,3.83,3.82,1.29,26.1,9.2,26.3,1.4,11.7,12.7,3,48.3,32.1,19.6,0.302
619,Will Harris,FA,RP,R,27.5,0.0,0.0,116.1,27.5,1.4,1.3,0,3,4.02,3.96,1.33,24.2,8.9,27.6,0.9,12.1,13.1,3,47.2,32.2,20.5,0.306
620,Cole Hamels,SD,SP,L,6.1,6.1,2.2,119.4,27.5,1.6,1.5,0,0,4.55,4.56,1.42,20.9,10.2,29.0,1.2,13.7,14.8,4,43.9,35.3,20.8,0.295
621,Brett Martin,TEX,RP,L,30.6,0.0,0.0,116.9,27.5,1.3,1.4,0,8,3.94,4.01,1.37,22.7,9.6,28.1,0.9,11.9,13.0,3,49.6,30.5,19.9,0.308
622,Parker Mushinski,HOU,RP,L,27.5,0.0,0.0,117.6,27.5,1.4,1.3,0,6,3.98,4.14,1.37,25.7,11.1,26.7,1.2,11.9,13.0,3,46.2,33.5,20.3,0.301
623,George Soriano,MIA,RP,R,27.5,0.0,0.0,120.5,27.5,1.2,1.4,0,3,4.62,4.70,1.43,24.6,12.0,27.2,1.6,13.8,14.8,4,39.1,39.6,21.3,0.300
624,Yerry Rodriguez,TEX,RP,R,27.5,0.0,0.0,116.9,27.5,1.4,1.3,0,3,3.78,3.79,1.30,28.5,11.2,24.6,1.2,11.8,12.8,3,43.0,37.5,19.5,0.292
625,Stephen Ridings,NYM,RP,R,27.5,0.0,0.0,113.9,27.5,1.4,1.3,0,8,3.32,3.22,1.19,31.8,9.5,23.3,1.2,10.5,11.4,3,41.5,39.0,19.5,0.284
626,Justus Sheffield,SEA,RP,L,17.8,1.6,0.6,115.4,27.4,1.3,1.5,0,2,4.48,4.54,1.46,20.7,9.8,30.3,1.4,12.9,14.0,3,48.2,31.5,20.3,0.302
627,Griff McGarry,PHI,RP,R,21.0,1.6,0.7,117.5,27.4,1.4,1.4,0,2,4.36,4.40,1.42,28.9,13.7,25.3,1.3,13.0,14.0,4,41.9,36.8,21.3,0.299
628,Ty Blach,COL,RP,L,24.3,0.0,0.0,115.0,26.7,1.3,1.3,0,2,5.09,5.13,1.49,17.4,8.3,31.6,1.0,14.8,16.0,4,45.5,34.0,20.5,0.329
629,Zack Littell,TEX,RP,R,24.3,0.0,0.0,114.2,26.7,1.2,1.4,0,5,4.26,4.26,1.33,23.8,9.5,26.1,1.0,12.8,13.8,4,40.4,39.7,19.9,0.290
630,Touki Toussaint,CLE,RP,R,24.3,0.0,0.0,116.3,26.7,1.3,1.3,0,2,4.06,4.17,1.39,26.8,12.4,24.7,1.9,12.1,13.1,3,46.2,33.7,20.2,0.297
631,Erich Uelmen,PHI,RP,R,24.3,0.0,0.0,117.7,26.7,1.2,1.4,0,5,4.66,4.70,1.46,22.2,11.7,27.2,2.0,13.7,14.8,3,45.5,34.3,20.2,0.300
632,Louie Varland,MIN,SP,R,13.3,3.1,1.4,112.7,26.6,1.5,1.4,0,1,4.13,4.11,1.28,23.4,8.0,26.1,1.1,12.3,13.3,4,40.0,40.1,19.9,0.289
633,Jonathan Stiever,CHW,SP,R,11.7,3.6,1.4,112.8,26.1,1.3,1.6,0,1,4.76,4.75,1.36,21.6,8.9,26.7,1.1,14.0,14.9,5,36.7,43.1,20.2,0.280
634,Jake Irvin,WSH,SP,R,5.2,5.2,2.1,112.6,26.0,1.2,1.8,0,0,5.00,4.95,1.42,19.5,8.7,28.1,1.3,14.2,15.2,4,41.7,37.1,21.2,0.299
635,Julio Teheran,SD,SP,R,5.2,5.2,1.9,115.8,26.0,1.6,1.5,0,0,5.12,5.11,1.49,19.9,11.4,27.3,1.4,14.9,15.8,5,36.2,43.0,20.8,0.284
636,Jared Shuster,ATL,SP,L,5.2,5.2,2.3,111.7,26.0,1.6,1.3,0,0,4.51,4.56,1.37,21.0,8.1,27.4,0.8,12.8,13.8,4,42.1,36.8,21.1,0.304
637,Patrick Murphy,MIN,RP,R,25.9,0.0,0.0,110.1,25.9,1.3,1.3,0,3,3.85,3.90,1.36,25.3,11.1,24.3,1.1,10.9,11.9,3,47.3,33.1,19.6,0.305
638,Noah Davis,COL,RP,R,25.9,0.0,0.0,112.2,25.9,1.2,1.3,0,3,5.09,5.17,1.42,21.8,10.0,26.8,1.6,14.7,15.8,4,36.9,43.2,19.9,0.306
639,Collin Snider,KC,RP,R,32.4,0.0,0.0,113.8,25.9,1.2,1.4,0,9,4.71,4.81,1.52,18.1,11.8,27.6,1.3,13.4,14.5,3,48.7,31.3,20.0,0.314
640,Justin Martinez,ARI,RP,R,25.9,0.0,0.0,113.3,25.9,1.2,1.3,0,3,4.46,4.53,1.48,24.7,13.0,25.5,1.2,12.3,13.3,3,45.0,33.7,21.3,0.314
641,Miguel Diaz,DET,RP,R,21.1,0.0,0.0,110.2,25.3,1.1,1.4,0,2,4.22,4.26,1.39,22.0,10.8,24.2,1.0,12.1,13.0,3,43.7,36.4,19.9,0.293
642,David Phelps,FA,RP,R,24.8,0.0,0.0,100.8,24.8,1.2,1.2,0,6,4.22,4.19,1.37,24.5,10.6,23.2,1.1,11.7,12.5,3,39.3,40.5,20.1,0.293
643,Bennett Sousa,CIN,RP,L,30.8,0.0,0.0,105.8,24.6,1.1,1.3,0,8,4.53,4.64,1.45,23.8,11.2,24.6,1.1,12.3,13.3,3,43.0,37.0,20.0,0.304
644,Brandon Williamson,CIN,SP,L,4.9,4.9,1.9,108.8,24.5,1.1,1.8,0,0,5.59,5.74,1.58,20.2,12.1,26.6,1.3,14.9,15.9,5,38.1,40.5,21.4,0.301
645,John Means,BAL,SP,L,8.4,4.2,1.9,101.3,24.4,1.3,1.3,0,0,3.76,3.79,1.14,21.7,5.1,22.6,0.9,10.7,11.5,4,34.1,46.0,19.9,0.268
646,Drew Hutchison,TOR,RP,R,24.3,0.0,0.0,104.5,24.3,1.2,1.2,0,2,4.34,4.32,1.34,20.2,7.9,24.6,0.9,11.8,12.6,4,41.3,38.5,20.2,0.291
647,Danny Coulombe,MIN,RP,L,24.3,0.0,0.0,104.1,24.3,1.2,1.2,0,2,3.99,4.08,1.35,22.2,9.2,23.7,0.9,10.7,11.6,3,42.6,36.9,20.5,0.298
648,Jandel Gustave,ARI,RP,R,24.3,0.0,0.0,104.1,24.3,1.2,1.2,0,2,4.09,4.08,1.35,21.6,9.0,23.8,1.2,11.1,12.1,3,44.9,35.4,19.8,0.301
649,T.J. McFarland,NYM,RP,L,24.3,0.0,0.0,105.3,24.3,1.2,1.2,0,2,4.21,4.25,1.47,16.5,7.8,27.8,1.1,10.9,11.9,2,53.7,25.5,20.8,0.319
650,Louis Head,PHI,RP,R,24.3,0.0,0.0,106.9,24.3,1.1,1.3,0,2,4.66,4.69,1.41,22.4,10.8,23.3,1.4,12.6,13.5,4,35.8,44.0,20.2,0.285
651,Kyle Funkhouser,TEX,RP,R,24.3,0.0,0.0,104.1,24.3,1.2,1.2,0,7,4.04,4.05,1.38,23.0,10.6,22.9,1.0,11.0,12.0,3,46.2,34.1,19.7,0.298
652,Austin Adams,ARI,RP,R,24.3,0.0,0.0,106.8,24.3,1.2,1.2,0,2,4.19,4.19,1.37,26.0,11.8,21.5,2.1,11.5,12.3,3,39.2,40.6,20.1,0.292
653,Justin Garza,LAA,RP,R,24.3,0.0,0.0,105.9,24.3,1.2,1.2,0,2,4.45,4.44,1.41,23.6,11.2,23.1,1.0,12.1,13.0,3,39.6,40.4,20.0,0.291
654,Thomas Hatch,TOR,RP,R,24.3,0.0,0.0,103.0,24.3,1.2,1.1,0,2,4.12,4.17,1.28,20.7,6.5,24.5,1.4,10.8,11.7,3,43.2,37.0,19.8,0.297
655,Brent Honeywell Jr.,SD,RP,R,24.3,0.0,0.0,104.6,24.3,1.2,1.2,0,2,4.19,4.24,1.34,20.8,8.7,23.9,1.0,11.3,12.2,3,39.9,40.3,19.8,0.286
656,Tyler Kinley,COL,RP,R,24.3,0.0,0.0,103.3,24.3,1.2,1.2,0,7,4.63,4.60,1.37,22.6,9.6,23.8,1.0,12.8,13.7,4,37.6,42.6,19.8,0.304
657,Darwinzon Hernandez,BAL,RP,L,24.3,0.0,0.0,105.3,24.3,1.2,1.2,0,2,3.81,4.04,1.39,28.0,13.6,20.1,1.5,10.1,10.9,3,41.8,38.1,20.1,0.297
658,Manuel Rodriguez,CHC,RP,R,24.3,0.0,0.0,104.5,24.3,1.1,1.2,0,6,4.23,4.30,1.45,22.7,11.9,23.3,1.1,11.5,12.4,3,45.7,34.3,20.0,0.302
659,Enoli Paredes,HOU,RP,R,24.3,0.0,0.0,105.8,24.3,1.2,1.2,0,2,4.13,4.21,1.42,26.1,12.9,21.7,1.2,11.1,12.0,3,42.8,37.1,20.1,0.296
660,Luis Gil,NYY,RP,R,24.3,0.0,0.0,101.3,24.3,1.3,1.1,0,2,3.53,3.57,1.21,30.1,10.6,18.9,0.9,9.9,10.6,3,33.6,47.0,19.5,0.272
661,Isaiah Campbell,SEA,RP,R,24.3,0.0,0.0,104.3,24.3,1.2,1.2,0,2,4.07,4.05,1.34,23.7,8.9,23.6,1.0,10.7,11.5,3,43.9,34.9,21.2,0.298
662,Hogan Harris,OAK,RP,L,24.3,0.0,0.0,104.2,24.3,1.1,1.3,0,2,3.78,3.88,1.33,26.3,10.9,21.3,1.1,10.0,10.8,3,40.9,37.9,21.2,0.295
663,Trevor Kelley,TB,RP,R,24.3,0.0,0.0,105.7,24.3,1.1,1.3,0,4,4.56,4.58,1.40,21.0,9.7,24.3,0.9,12.2,13.0,4,38.9,40.4,20.7,0.291
664,Angel Felipe,SD,RP,R,24.3,0.0,0.0,106.3,24.3,1.2,1.1,0,2,4.17,4.36,1.50,22.3,12.5,24.0,1.3,10.6,11.6,2,51.1,27.5,21.4,0.314
665,Jose Marte,LAA,RP,R,24.3,0.0,0.0,106.9,24.3,1.2,1.2,0,2,4.27,4.37,1.47,25.4,13.7,22.0,1.2,11.5,12.5,3,44.6,35.5,19.9,0.298
666,Jhony Brito,NYY,RP,R,24.3,0.0,0.0,103.3,24.3,1.2,1.2,0,2,4.32,4.39,1.33,18.9,6.2,26.1,1.0,11.1,12.1,3,46.6,32.4,21.0,0.310
667,Hagen Danner,TOR,RP,R,24.3,0.0,0.0,106.3,24.3,1.2,1.2,0,2,4.67,4.73,1.44,21.1,10.3,24.7,1.1,12.2,13.1,4,41.3,37.5,21.3,0.300
668,Chris Murphy,BOS,RP,L,24.3,0.0,0.0,104.1,24.3,1.2,1.2,0,2,4.63,4.81,1.40,20.9,9.2,24.9,1.1,12.1,13.0,3,40.9,37.9,21.2,0.308
669,Chris Rodriguez,LAA,RP,R,24.3,0.0,0.0,104.8,24.3,1.2,1.2,0,6,4.08,4.05,1.38,23.5,10.3,23.2,1.1,11.1,12.0,3,45.9,34.1,20.0,0.301
670,Darius Vines,ATL,RP,R,24.3,0.0,0.0,102.4,24.3,1.3,1.1,0,2,4.09,4.05,1.28,22.3,6.7,24.3,0.8,10.8,11.7,3,41.9,37.1,21.0,0.305
671,Logan Gillaspie,BAL,RP,R,24.3,0.0,0.0,104.5,24.3,1.1,1.3,0,2,4.36,4.33,1.34,19.9,8.0,24.6,1.1,11.8,12.7,3,40.3,39.8,19.9,0.293
672,Guillermo Zuniga,STL,RP,R,24.3,0.0,0.0,104.5,24.3,1.2,1.2,0,2,4.54,4.62,1.45,21.7,11.4,23.9,1.0,11.9,12.8,3,40.2,38.5,21.3,0.299
673,Carlos Vargas,ARI,RP,R,24.3,0.0,0.0,105.3,24.3,1.2,1.2,0,2,4.43,4.47,1.47,21.9,11.1,24.7,1.1,11.5,12.5,3,46.8,31.9,21.3,0.316
674,Jose Butto,NYM,RP,R,24.3,0.0,0.0,102.1,24.3,1.2,1.2,0,2,3.78,3.76,1.22,23.9,6.9,22.8,1.2,10.3,11.0,3,39.7,40.7,19.6,0.287
675,Cam Robinson,MIL,RP,R,24.3,0.0,0.0,106.8,24.3,1.1,1.2,0,2,4.46,4.55,1.52,22.1,12.1,24.8,1.1,11.5,12.5,3,50.4,28.2,21.4,0.315
676,Tom Cosgrove,SD,RP,L,24.3,0.0,0.0,101.3,24.3,1.3,1.1,0,2,3.90,4.10,1.38,24.9,11.1,22.4,1.1,10.1,11.0,3,43.1,35.7,21.3,0.299
677,Victor Vodnik,ATL,RP,R,24.3,0.0,0.0,105.8,24.3,1.2,1.1,0,2,4.22,4.23,1.44,24.2,11.3,23.7,1.0,11.0,12.0,2,47.5,31.2,21.3,0.317
678,Gus Varland,MIL,RP,R,24.3,0.0,0.0,106.9,24.3,1.1,1.3,0,2,4.82,4.91,1.48,21.1,10.9,25.1,1.3,12.5,13.4,4,41.8,36.9,21.3,0.301
679,Andrew Politi,BAL,RP,R,24.3,0.0,0.0,104.5,24.3,1.2,1.2,0,2,4.24,4.30,1.35,21.9,9.0,23.9,1.2,11.0,11.9,3,42.6,36.3,21.2,0.301
680,Freddy Pacheco,STL,RP,R,24.3,0.0,0.0,104.8,24.3,1.2,1.2,0,2,4.31,4.41,1.40,24.3,11.7,22.3,1.0,11.3,12.1,3,37.7,41.0,21.3,0.294
681,Eli Villalobos,MIA,RP,R,24.3,0.0,0.0,104.5,24.3,1.1,1.2,0,2,4.27,4.30,1.39,22.4,9.9,23.8,1.1,11.2,12.1,3,43.4,35.4,21.2,0.306
682,Colin Selby,PIT,RP,R,24.3,0.0,0.0,106.3,24.3,1.1,1.3,0,2,4.68,4.73,1.51,20.5,11.7,24.9,1.1,12.2,13.1,3,43.8,34.8,21.3,0.310
683,Evan Reifert,TB,RP,R,24.3,0.0,0.0,106.5,24.3,1.1,1.2,0,2,4.49,4.55,1.48,24.5,12.8,23.1,1.4,11.7,12.6,3,41.7,36.9,21.4,0.301
684,Abner Uribe,MIL,RP,R,24.3,0.0,0.0,105.3,24.3,1.1,1.3,0,2,4.58,4.61,1.49,24.3,12.6,23.7,1.0,12.0,12.9,3,42.6,36.0,21.4,0.303
685,Colby White,TB,RP,R,24.3,0.0,0.0,102.8,24.3,1.2,1.2,0,2,3.96,3.98,1.30,25.8,9.6,22.1,1.1,10.5,11.2,3,39.8,39.1,21.1,0.293
686,Brent Headrick,MIN,RP,L,24.3,0.0,0.0,100.2,24.3,1.2,1.2,0,2,3.91,4.04,1.28,23.4,7.9,23.1,0.9,10.3,11.1,3,38.3,40.6,21.1,0.295
687,Noah Denoyer,BAL,RP,R,24.3,0.0,0.0,102.1,24.3,1.2,1.2,0,2,4.13,4.14,1.32,22.4,8.4,23.6,1.0,10.9,11.7,3,41.7,37.2,21.1,0.299
688,Eric Torres,LAA,RP,L,24.3,0.0,0.0,105.6,24.3,1.2,1.2,0,2,4.25,4.36,1.38,25.7,11.2,22.4,1.3,11.2,12.1,3,38.8,39.9,21.2,0.295
689,Craig Stammen,SD,RP,R,24.3,0.0,0.0,101.3,24.3,1.2,1.1,0,5,3.96,3.82,1.29,20.0,6.3,25.1,1.0,10.7,11.6,3,47.1,32.7,20.2,0.299
690,Deolis Guerra,OAK,RP,R,24.3,0.0,0.0,105.9,24.3,1.0,1.4,0,2,4.46,4.41,1.34,20.1,8.6,24.0,1.1,12.3,13.1,4,37.1,42.4,20.5,0.283
691,Angel Zerpa,KC,SP,L,14.9,1.8,0.7,100.5,23.8,1.1,1.3,0,4,3.98,4.11,1.33,19.1,8.2,23.4,0.9,10.6,11.5,2,46.0,34.1,19.9,0.301
692,Phillips Valdez,COL,RP,R,19.4,0.0,0.0,99.0,23.3,1.1,1.2,0,2,5.00,5.08,1.55,18.3,10.9,25.1,1.6,13.0,14.1,3,49.6,30.2,20.3,0.326
693,Ronel Blanco,HOU,RP,R,24.3,0.0,0.0,93.9,21.9,1.1,1.0,0,2,3.99,3.99,1.33,22.5,8.9,20.2,0.8,9.8,10.6,3,40.8,39.4,19.8,0.290
694,Jake Walsh,STL,RP,R,24.3,0.0,0.0,93.9,21.9,1.1,1.0,0,2,3.90,3.92,1.30,22.8,9.4,19.1,0.9,9.6,10.3,3,36.8,43.3,20.0,0.283
695,Tommy Hunter,NYM,RP,R,17.8,0.0,0.0,91.0,21.4,1.0,1.0,0,2,3.91,3.80,1.27,19.6,6.5,20.8,0.9,9.4,10.2,3,42.3,37.7,20.1,0.289
696,Tyler Chatwood,PIT,RP,R,21.1,0.0,0.0,91.8,21.1,1.0,1.0,0,6,3.99,4.04,1.42,19.7,9.8,20.2,1.0,9.2,10.1,2,48.5,31.5,20.0,0.308
697,Geoff Hartlieb,MIA,RP,R,21.1,0.0,0.0,92.3,21.1,1.0,1.1,0,2,4.50,4.59,1.47,17.2,9.5,21.5,1.0,10.4,11.2,2,45.4,34.4,20.2,0.304
698,Javier Assad,CHC,SP,R,12.3,2.5,0.9,90.7,21.1,1.0,1.3,0,1,4.57,4.65,1.39,16.7,7.6,21.7,1.0,10.6,11.4,3,41.4,38.4,20.2,0.296
699,Nick Mikolajchak,CLE,RP,R,21.1,0.0,0.0,91.8,21.1,1.0,1.1,0,2,4.70,4.77,1.45,19.0,9.3,21.3,0.7,10.7,11.5,3,38.7,40.0,21.3,0.299
700,Zach Brzykcy,WSH,RP,R,21.1,0.0,0.0,91.0,21.1,1.0,1.1,0,2,4.54,4.60,1.44,20.8,10.1,20.2,1.1,10.3,11.1,3,40.7,38.0,21.3,0.302
701,Frankie Montas,NYY,SP,R,4.2,4.2,2.0,87.4,21.0,1.3,1.0,0,0,3.89,3.87,1.24,20.5,6.0,20.1,0.8,9.0,9.7,3,43.4,37.0,19.6,0.296
702,Matt Krook,NYY,SP,L,14.6,1.6,0.7,89.3,21.0,1.2,1.0,0,1,4.10,4.34,1.44,19.6,9.4,20.9,0.9,8.9,9.8,2,51.6,27.1,21.3,0.318
703,Cody Bolton,PIT,SP,R,14.6,1.6,0.6,89.9,21.0,1.0,1.2,0,1,4.48,4.51,1.42,19.0,9.1,20.6,0.9,10.2,10.9,3,40.8,37.9,21.2,0.301
704,Justin Wilson,MIL,RP,L,29.2,0.0,0.0,87.4,20.4,1.0,1.0,0,3,4.02,4.10,1.34,20.9,8.7,18.7,0.8,9.1,9.8,3,40.8,39.2,20.0,0.290
705,Zach Logue,DET,SP,L,9.7,1.6,0.6,82.7,20.0,1.9,2.6,0,0,5.23,5.36,1.46,13.6,5.9,23.2,1.0,10.5,11.1,3,35.6,43.9,20.5,0.291
706,Chase Anderson,CIN,SP,R,4.1,4.1,1.4,87.1,19.7,0.8,1.5,0,0,5.66,5.71,1.51,14.7,7.9,21.8,0.9,12.6,13.4,4,35.8,43.7,20.5,0.288
707,Anthony Banda,WSH,RP,L,24.3,0.0,0.0,82.5,19.4,0.9,1.0,0,2,4.59,4.70,1.44,17.3,7.9,20.0,0.9,9.3,10.0,3,41.3,38.7,20.0,0.316
708,Austin Davis,HOU,RP,L,19.4,0.0,0.0,83.7,19.4,1.0,0.9,0,2,4.04,4.13,1.35,21.1,8.8,17.4,0.9,8.6,9.3,2,38.5,41.5,20.0,0.293
709,Franklin German,CHW,RP,R,24.3,0.0,0.0,83.1,19.4,0.9,1.0,0,2,4.20,4.21,1.33,18.2,7.3,18.5,0.9,9.1,9.9,3,40.9,39.6,19.5,0.286
710,Luis Perdomo,FA,RP,R,16.1,0.0,0.0,77.2,19.3,0.9,1.0,0,2,4.10,4.03,1.34,15.2,5.7,20.1,0.8,8.8,9.6,2,48.2,31.8,20.0,0.303
