#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
483,Jake Diekman,CHW,RP,L,59.9,0.0,0.0,206.0,47.9,2.5,2.2,0,18,3.68,3.83,1.33,59.4,25.1,38.6,3.0,19.5,21.2,6,40.9,39.2,19.9,0.289
484,Kirby Yates,ATL,RP,R,59.9,0.0,0.0,202.7,47.9,2.5,2.2,0,18,3.76,3.69,1.24,51.7,16.8,42.5,2.3,20.4,22.0,5,40.3,39.8,19.9,0.292
485,Ethan Small,MIL,RP,L,35.6,3.2,1.2,202.0,47.8,2.3,2.7,0,3,4.67,4.91,1.51,43.8,22.6,49.7,1.9,22.9,24.7,6,41.4,38.1,20.6,0.297
486,Joan Adon,WSH,SP,R,10.4,10.4,4.0,210.5,47.8,2.0,3.4,0,0,4.72,4.70,1.48,40.4,22.5,48.3,2.5,25.1,27.1,6,46.2,33.8,20.0,0.301
487,Riley Pint,COL,RP,R,47.0,0.0,0.0,207.8,47.0,2.2,2.4,0,5,5.25,5.34,1.61,40.9,25.3,50.3,2.5,26.3,28.5,6,47.1,31.5,21.4,0.337
488,Kirby Snead,OAK,RP,L,47.0,0.0,0.0,201.8,47.0,2.1,2.5,0,8,4.01,4.12,1.39,42.7,19.6,45.7,2.0,20.2,21.9,5,45.2,34.6,20.1,0.306
489,Jordan Weems,WSH,RP,R,38.9,0.0,0.0,198.5,46.7,2.2,2.4,0,4,4.07,4.08,1.30,45.8,18.2,42.5,1.8,21.9,23.5,6,38.6,41.7,19.8,0.282
490,Jackson Stephens,ATL,RP,R,38.9,0.0,0.0,200.8,46.7,2.4,2.2,0,4,4.17,4.15,1.36,43.7,17.9,45.4,2.0,21.5,23.2,5,44.2,35.9,19.9,0.304
491,Garrett Hill,DET,RP,R,38.9,0.0,0.0,200.1,46.7,2.1,2.5,0,8,4.04,4.04,1.27,42.5,16.3,43.0,2.2,21.8,23.3,6,38.1,41.6,20.3,0.281
492,Ken Giles,FA,RP,R,51.8,0.0,0.0,199.9,46.6,2.3,2.3,3,5,3.97,3.94,1.32,48.2,20.0,41.7,1.6,21.0,22.6,6,39.9,40.2,20.0,0.288
493,Fernando Cruz,CIN,RP,R,51.8,0.0,0.0,199.7,46.6,2.2,2.4,0,5,4.32,4.29,1.35,49.0,19.3,43.5,2.1,22.9,24.6,7,39.5,40.6,19.9,0.290
494,Cristopher Sanchez,PHI,RP,L,34.0,1.6,0.6,196.3,45.9,2.3,2.2,0,9,3.88,4.00,1.38,41.6,18.9,44.7,2.1,19.5,21.4,5,51.7,28.1,20.2,0.307
495,Jason Alexander,MIL,RP,R,27.5,3.2,1.3,196.3,45.5,2.3,2.5,0,2,4.57,4.58,1.44,32.5,14.7,50.9,2.2,22.2,24.1,6,50.5,29.3,20.3,0.312
496,Aroldis Chapman,KC,RP,L,56.7,0.0,0.0,191.7,45.4,2.4,2.1,7,14,3.36,3.57,1.27,55.6,24.0,33.8,1.8,17.3,18.7,4,39.1,41.2,19.6,0.289
497,Casey Sadler,SEA,RP,R,45.4,0.0,0.0,195.7,45.4,2.2,2.3,0,14,3.91,3.89,1.32,40.2,15.5,44.7,1.9,19.9,21.7,5,47.2,32.6,20.2,0.292
498,Jose Cuas,KC,RP,R,56.7,0.0,0.0,197.4,45.4,2.1,2.4,0,17,4.38,4.47,1.44,38.6,21.0,44.3,2.3,21.9,23.7,5,45.2,34.4,20.4,0.309
499,Victor Gonzalez,LAD,RP,L,45.4,0.0,0.0,193.6,45.4,2.4,2.1,0,14,3.77,3.85,1.37,44.0,18.1,43.9,2.2,18.7,20.5,5,50.1,29.8,20.1,0.309
500,Josh Taylor,KC,RP,L,45.4,0.0,0.0,191.2,45.4,2.3,2.2,0,14,3.69,3.85,1.29,45.3,17.9,40.5,1.9,18.3,19.9,4,43.0,37.1,19.9,0.302
501,Mauricio Llovera,SF,RP,R,45.4,0.0,0.0,194.7,45.4,2.2,2.3,0,5,4.00,4.01,1.32,44.9,18.4,41.4,2.1,20.6,22.2,5,39.6,40.8,19.6,0.289
502,Calvin Faucher,TB,RP,R,45.4,0.0,0.0,196.7,45.4,2.2,2.3,0,5,4.21,4.28,1.40,43.1,20.3,43.3,1.6,20.9,22.5,6,42.4,37.7,19.9,0.296
503,Peyton Battenfield,CLE,RP,R,45.4,0.0,0.0,193.5,45.4,2.2,2.3,0,5,4.52,4.65,1.35,35.6,13.1,48.2,1.5,21.9,23.5,7,40.5,38.4,21.1,0.300
504,Cole Waites,SF,RP,R,50.2,0.0,0.0,194.0,45.2,2.2,2.2,0,5,3.73,3.70,1.34,50.6,21.8,38.7,1.7,19.2,20.7,5,41.7,38.4,19.9,0.294
505,Sean Hjelle,SF,RP,R,32.4,1.6,0.7,192.7,45.0,2.2,2.4,0,3,4.24,4.21,1.42,33.9,15.6,48.4,2.2,20.6,22.5,4,51.9,28.1,20.0,0.318
506,John King,TEX,RP,L,37.3,0.0,0.0,192.6,44.8,2.2,2.2,0,11,4.00,4.11,1.41,33.7,15.5,47.6,2.0,19.4,21.4,4,54.5,25.3,20.2,0.316
507,Stephen Nogosek,NYM,RP,R,37.3,0.0,0.0,192.6,44.8,2.2,2.2,0,4,3.97,3.91,1.28,45.3,16.2,41.0,1.8,20.4,21.8,6,36.4,43.7,19.9,0.277
508,Kyle Crick,TB,RP,R,40.5,0.0,0.0,197.9,44.6,2.1,2.3,0,12,4.45,4.51,1.47,42.9,23.7,41.9,2.6,22.1,23.7,6,40.7,38.8,20.4,0.291
509,Blair Calvo,COL,RP,R,43.7,0.0,0.0,189.8,43.7,2.1,2.2,0,4,5.15,5.16,1.51,34.4,17.1,48.8,2.1,24.1,26.0,6,46.0,32.7,21.2,0.333
510,Zach Greene,NYM,RP,R,43.7,0.0,0.0,187.3,43.7,2.2,2.1,0,4,3.90,3.90,1.33,47.2,18.2,40.0,1.6,18.6,20.0,5,40.8,38.1,21.2,0.296
511,Packy Naughton,STL,RP,L,38.9,0.0,0.0,180.4,42.8,2.2,2.0,0,8,3.85,3.98,1.32,36.9,13.6,42.9,1.5,17.3,18.9,5,46.2,33.6,20.1,0.309
512,Gavin Stone,LAD,SP,R,18.3,6.1,2.9,179.8,42.7,2.5,2.1,0,2,3.87,3.79,1.30,43.0,14.4,41.2,1.5,17.9,19.5,5,47.7,31.2,21.1,0.305
513,J.P. France,HOU,RP,R,35.6,1.6,0.7,178.4,42.0,2.3,2.0,0,3,4.13,4.16,1.30,44.0,15.8,38.7,1.4,18.9,20.3,6,37.3,41.5,21.1,0.289
514,Deivi Garcia,NYY,RP,R,35.6,1.6,0.6,184.1,42.0,2.1,2.2,0,3,4.78,4.92,1.40,38.3,18.1,40.8,2.5,22.1,23.6,7,34.7,45.0,20.3,0.284
515,Aaron Sanchez,MIN,RP,R,27.5,3.2,1.2,172.3,41.4,1.9,2.4,0,2,4.69,4.70,1.45,28.9,12.1,48.1,2.5,19.9,21.6,5,46.9,32.9,20.2,0.313
516,Blake Taylor,HOU,RP,L,51.8,0.0,0.0,183.7,41.4,2.0,2.1,0,16,4.58,4.72,1.48,34.9,19.4,42.1,1.7,20.8,22.5,6,42.1,37.5,20.4,0.296
517,Alex Young,CIN,RP,L,37.3,0.0,0.0,175.0,41.0,1.9,2.1,0,11,4.59,4.67,1.43,37.0,15.1,43.4,1.7,20.2,21.9,6,44.2,35.5,20.3,0.313
518,Matt Foster,CHW,RP,R,45.4,0.0,0.0,175.3,40.9,2.0,2.1,0,8,4.27,4.22,1.30,39.3,14.1,38.9,1.5,20.0,21.3,7,34.2,45.8,20.0,0.277
519,Bryan Shaw,CHW,RP,R,45.4,0.0,0.0,177.2,40.9,1.9,2.1,0,9,4.46,4.42,1.42,35.8,17.1,41.1,1.8,20.4,22.0,6,44.8,34.9,20.3,0.295
520,Tyler Thornburg,FA,RP,R,34.0,0.0,0.0,179.5,40.8,1.9,2.1,0,3,4.63,4.63,1.42,35.1,17.7,40.3,1.9,21.4,22.8,6,37.8,42.1,20.2,0.288
521,Tanner Banks,CHW,RP,L,34.0,0.0,0.0,172.1,40.8,2.1,1.9,0,3,3.62,3.66,1.26,39.5,13.3,37.9,1.5,16.9,18.4,5,45.1,34.8,20.1,0.288
522,Thomas Szapucki,SF,RP,L,34.0,0.0,0.0,171.9,40.8,2.1,1.9,0,5,3.55,3.59,1.26,47.0,17.1,34.2,1.7,16.3,17.6,4,39.4,40.8,19.7,0.291
523,Cory Abbott,WSH,RP,R,34.0,0.0,0.0,177.5,40.8,1.8,2.2,0,3,4.61,4.70,1.37,38.1,17.7,38.0,1.9,21.5,22.8,7,33.5,46.1,20.4,0.275
524,Ronny Henriquez,MIN,RP,R,34.0,0.0,0.0,170.6,40.8,2.0,2.0,0,3,3.74,3.74,1.24,38.1,12.0,38.4,1.8,17.2,18.6,5,42.5,37.6,19.9,0.291
525,Joey Lucchesi,NYM,SP,L,21.1,4.9,2.1,174.3,40.7,2.3,2.1,0,2,4.01,3.96,1.29,37.9,12.7,40.0,1.5,18.4,19.8,6,40.7,38.9,20.3,0.289
526,Trevor Rosenthal,DET,RP,R,40.5,0.0,0.0,174.5,40.5,1.9,2.1,0,8,3.78,3.80,1.31,44.9,19.7,33.3,2.0,17.4,18.8,4,38.7,41.5,19.7,0.285
527,Dan Altavilla,BOS,RP,R,40.5,0.0,0.0,174.2,40.5,2.0,2.0,0,4,4.21,4.15,1.34,41.8,17.6,36.6,1.5,19.6,21.0,5,38.8,41.5,19.7,0.292
528,Gabe Speier,SEA,RP,L,40.5,0.0,0.0,172.1,40.5,2.0,2.0,0,8,3.69,3.73,1.27,38.6,13.5,38.0,1.8,17.1,18.5,5,44.2,35.8,20.0,0.286
529,Julian Merryweather,CHC,RP,R,40.5,0.0,0.0,171.1,40.5,2.0,2.0,0,9,3.79,3.78,1.28,41.3,14.5,37.3,1.7,17.0,18.4,5,42.9,37.6,19.4,0.298
530,Gavin Hollowell,COL,RP,R,40.5,0.0,0.0,174.2,40.5,2.0,2.0,0,4,4.89,4.93,1.41,36.3,16.3,40.7,1.8,22.2,23.8,6,36.9,43.0,20.1,0.306
531,Jose Hernandez,PIT,RP,L,40.5,0.0,0.0,176.9,40.5,1.9,2.1,0,4,4.43,4.58,1.47,34.4,18.6,41.1,1.8,19.2,20.7,5,43.4,35.3,21.3,0.309
532,Justin Bruihl,LAD,RP,L,40.5,0.0,0.0,179.4,40.5,1.9,2.1,0,8,4.85,4.94,1.51,30.2,17.1,44.0,2.0,21.5,23.1,6,42.0,37.3,20.8,0.300
533,Cole Ragans,TEX,RP,L,34.0,1.6,0.6,166.1,39.4,1.9,2.1,0,3,4.06,4.19,1.31,36.0,13.7,37.9,1.5,17.8,19.1,5,39.7,40.2,20.2,0.292
534,Noe Ramirez,FA,RP,R,43.7,0.0,0.0,170.3,39.3,1.8,2.0,1,13,4.51,4.52,1.37,35.6,16.0,37.9,1.9,19.8,21.2,6,37.4,41.9,20.7,0.287
535,Steven Brault,FA,RP,L,38.9,0.0,0.0,169.5,38.9,1.8,2.0,0,7,4.36,4.45,1.40,32.1,14.7,39.9,2.1,18.6,20.0,5,42.3,37.2,20.5,0.302
536,Rico Garcia,OAK,RP,R,32.4,0.0,0.0,166.4,38.9,1.7,2.1,0,3,4.07,4.07,1.31,36.5,15.4,35.5,1.4,18.0,19.3,5,37.5,42.7,19.8,0.279
537,Spencer Howard,TEX,RP,R,32.4,0.0,0.0,163.7,38.9,1.9,1.9,0,3,4.05,4.03,1.28,39.3,13.6,36.1,1.5,17.5,18.8,5,37.6,42.6,19.8,0.293
538,Kolton Ingram,LAA,RP,L,38.9,0.0,0.0,168.6,38.9,1.9,1.9,0,4,4.36,4.49,1.43,35.4,16.6,39.0,1.8,18.2,19.8,5,44.7,34.0,21.3,0.307
539,Max Castillo,KC,SP,R,19.8,4.5,1.5,163.3,37.8,1.6,2.4,0,2,4.50,4.51,1.36,29.7,13.6,37.9,1.6,19.2,20.6,5,41.8,38.0,20.2,0.296
540,Keegan Thompson,CHC,RP,R,27.5,2.0,0.8,161.3,37.7,1.8,2.0,0,3,4.13,4.13,1.32,37.2,14.4,35.2,1.8,17.4,18.7,5,39.6,40.3,20.0,0.293
541,Peter Lambert,COL,SP,R,17.9,4.9,2.0,163.6,37.5,1.7,2.4,0,1,5.30,5.20,1.49,27.0,13.3,42.5,1.9,22.3,24.0,6,44.2,35.7,20.0,0.319
542,Chad Green,TOR,RP,R,34.0,0.0,0.0,153.3,37.4,2.0,1.7,2,10,3.52,3.52,1.12,40.5,10.4,31.5,1.3,15.3,16.4,6,32.3,48.0,19.7,0.266
543,Andre Jackson,LAD,RP,R,37.3,0.0,0.0,163.2,37.3,1.8,1.8,0,7,4.43,4.50,1.44,35.0,17.1,36.7,1.4,18.1,19.4,5,41.2,38.7,20.1,0.297
544,Chris Clarke,SEA,RP,R,37.3,0.0,0.0,157.0,37.3,1.8,1.8,0,4,3.89,3.87,1.29,29.9,9.0,39.3,1.5,15.6,17.1,4,50.8,28.2,21.0,0.306
545,Spenser Watkins,BAL,RP,R,30.8,0.0,0.0,157.3,37.0,1.7,1.9,0,3,4.42,4.36,1.32,27.4,9.1,39.9,1.4,18.0,19.4,6,40.1,39.7,20.2,0.299
546,Jackson Kowar,KC,RP,R,30.8,0.0,0.0,157.3,37.0,1.8,1.9,0,9,4.19,4.22,1.36,34.5,14.7,35.6,1.7,16.7,18.1,4,42.8,37.4,19.8,0.313
547,Kyle Harrison,SF,SP,L,7.4,7.4,3.3,160.9,37.0,2.0,2.2,0,0,4.23,4.31,1.40,36.8,17.0,34.8,2.1,17.2,18.5,4,42.0,36.8,21.3,0.301
548,Sean Doolittle,WSH,RP,L,40.5,0.0,0.0,157.0,36.5,1.6,1.9,0,10,4.38,4.49,1.29,34.2,13.7,33.4,1.4,18.6,19.6,6,26.5,53.4,20.0,0.265
549,Jeurys Familia,ARI,RP,R,40.5,0.0,0.0,158.5,36.5,1.7,1.8,0,10,4.51,4.55,1.49,32.7,16.8,37.6,1.6,17.3,18.8,4,46.4,33.6,20.1,0.322
550,Bryse Wilson,MIL,RP,R,24.3,0.0,0.0,155.5,36.5,1.7,1.9,0,2,4.42,4.41,1.33,29.3,9.2,39.2,1.6,17.7,19.0,6,41.5,38.4,20.1,0.300
551,Greg Weissert,NYY,RP,R,40.5,0.0,0.0,158.5,36.5,1.8,1.7,0,4,4.11,4.15,1.35,37.1,15.8,33.6,1.9,16.7,18.1,5,42.7,37.4,20.0,0.292
552,Ryan Borucki,CHC,RP,L,45.4,0.0,0.0,155.4,36.3,1.8,1.8,0,14,3.87,4.02,1.38,36.1,17.1,32.9,1.5,15.8,17.2,4,44.0,35.9,20.0,0.295
553,Mike Baumann,BAL,RP,R,25.9,1.6,0.6,151.0,36.1,1.7,1.9,0,4,3.97,3.99,1.34,32.9,12.5,35.7,1.3,15.1,16.5,4,45.9,34.4,19.7,0.303
554,Levi Stoudt,CIN,SP,R,16.2,4.9,1.9,152.9,35.8,3.1,4.5,0,0,5.59,5.59,1.53,26.7,12.5,42.3,1.5,20.9,22.4,7,41.1,37.7,21.2,0.305
555,Bobby Miller,LAD,SP,R,15.3,5.1,2.3,151.2,35.7,2.1,1.8,0,1,4.00,3.93,1.31,34.0,11.2,35.4,1.6,15.6,16.9,5,46.8,32.1,21.1,0.304
556,Garrett Crochet,CHW,RP,L,35.7,0.0,0.0,148.8,35.7,1.9,1.6,0,11,3.20,3.22,1.19,44.3,14.4,28.1,1.4,13.1,14.2,4,40.6,39.8,19.5,0.281
557,Chase Silseth,LAA,SP,R,8.7,8.7,3.2,152.5,35.7,1.7,2.1,0,0,4.19,4.05,1.31,33.8,12.6,34.2,1.5,17.0,18.4,5,43.5,36.8,19.7,0.291
