player,IP,W,L,SV,HLD
"Martinez, Nick",118,7.9,5.6,0,0
"Maeda, Kenta",115.8,6.6,6.4,0,0
"Painter, Andrew",114.2,6.6,6.4,0,0
"Gomber, Austin",113.7,5.8,6.9,0,2
"Paxton, James",113.5,6.4,6.2,0,0
"Rogers, Trevor",113.5,6.2,6.3,0,0
"Hendricks, Kyle",111.8,6,7.1,0,0
"Lynch, Daniel",111.2,5.5,6.9,0,0
"Yarbrough, Ryan",110.7,4.5,8.3,0,0
"Wesneski, Hayden",109.7,5.8,6.8,0,0
"Hudson, Dakota",109.4,6,5.7,0,6
"Hill, Rich",109,5.4,6.9,0,0
"Civale, Aaron",109,6.1,6,0,0
"Keller, Brad",108.6,6.2,6.3,0,0
"Clevinger, Mike",107.6,6.1,6.1,0,0
"Ober, Bailey",107.6,6.1,6,0,0
"Nelson, Ryne",106.7,6.1,6.2,0,0
"Brown, Hunter",106.7,7.6,4.3,0,0
"Whitlock, Garrett",105.5,6.1,5.5,0,0
"McCullers Jr., Lance",103.5,7,4.5,0,0
"Weaver, Luke",103.2,4.6,6.7,0,2
"Turnbull, Spencer",102.2,4.2,6.8,0,0
"Smyly, Drew",101.3,5,6.4,0,0
"Garrett, Braxton",100.4,5.5,5.6,0,2
"German, Domingo",98.9,5.8,5.4,0,0
"DeSclafani, Anthony",98.8,5.2,5.9,0,2
"Velasquez, Vince",98.2,4.4,6.4,0,2
"Soroka, Michael",97.2,6,4.7,0,2
"Wells, Tyler",97.2,5,5.7,0,2
"Lugo, Seth",97,6.4,4.7,0,0
"Rucinski, Drew",97,4.5,6.4,0,0
"Miley, Wade",97,5.3,5.7,0,0
"Overton, Connor",95.4,4.4,5.9,0,3
"Muller, Kyle",95,3.8,6.5,0,0
"Bundy, Dylan",93.1,4.6,6.2,0,0
"Williams, Trevor",93.1,4,6.7,0,0
"Bello, Brayan",93.1,5.1,5,0,0
"Kikuchi, Yusei",92.3,5.4,4.4,0,2
"Ashby, Aaron",91.1,5.3,4.4,0,3
"Odorizzi, Jake",90.9,4.4,4.8,0,6
"Sears, JP",89.5,4,5.6,0,2
"Glasnow, Tyler",89,5.9,3.7,0,0
"Feltner, Ryan",87.2,3.9,6,0,0
"Falter, Bailey",84.4,4.7,4.5,0,2
"Minor, Mike",84.2,4.7,5,0,0
"Morejon, Adrian",84.1,5.2,3.7,0,6
"Dunning, Dane",83,4.3,4.4,0,5
"Kuhl, Chad",82.6,3.8,5.8,0,0
"Anderson, Ian",82.6,5.3,4.1,0,0
"Oviedo, Johan",82,3.8,5.1,0,2
