player,IP,W,L,SV,HLD
"Ingram, Kolton",38.9,1.9,1.9,0,4
"Castillo, Max",37.8,1.6,2.4,0,2
"Thompson, Keegan",37.7,1.8,2,0,3
"Lambert, Peter",37.5,1.7,2.4,0,1
"Green, Chad",37.4,2,1.7,2,10
"Jackson, Andre",37.3,1.8,1.8,0,7
"Clarke, Chris",37.3,1.8,1.8,0,4
"Watkins, Spenser",37,1.7,1.9,0,3
"Kowar, Jackson",37,1.8,1.9,0,9
"Harrison, Kyle",37,2,2.2,0,0
"Doolittle, Sean",36.5,1.6,1.9,0,10
"Familia, Jeurys",36.5,1.7,1.8,0,10
"Wilson, Bryse",36.5,1.7,1.9,0,2
"Weissert, Greg",36.5,1.8,1.7,0,4
"Borucki, Ryan",36.3,1.8,1.8,0,14
"Baumann, Mike",36.1,1.7,1.9,0,4
"Stoudt, Levi",35.8,3.1,4.5,0,0
"Miller, Bobby",35.7,2.1,1.8,0,1
"Crochet, Garrett",35.7,1.9,1.6,0,11
"Silseth, Chase",35.7,1.7,2.1,0,0
"Leiter Jr., Mark",35.6,1.8,1.7,0,7
"Ortiz, Luis",35.6,1.7,1.8,0,3
"Romo, Sergio",35,1.6,1.9,0,12
"Karcher, Ricky",34,1.5,1.8,0,3
"Simpson, Josh",34,1.7,1.7,0,3
"Shreve, Chasen",33.9,1.5,1.8,0,8
"Allard, Kolby",33.3,1.8,1.6,0,2
"Thornton, Trent",33,1.7,1.6,0,3
"Canning, Griffin",32.6,1.9,1.7,0,1
"Dubin, Shawn",32.6,2,1.5,0,1
"Zulueta, Yosver",32.6,4,4.1,0,0
"Nelson, Jimmy",32.4,1.6,1.6,0,10
"Hembree, Heath",32.4,1.5,1.7,0,4
"Duffey, Tyler",32.4,1.5,1.7,0,10
"Wittgren, Nick",32.4,1.5,1.7,0,7
"Coonrod, Sam",32.4,1.6,1.6,0,6
"Smith, Joe",32.4,1.5,1.7,0,12
"Moronta, Reyes",32.4,1.5,1.7,0,6
"Faedo, Alex",32.4,1.5,1.7,0,3
"Baez, Michel",32.4,1.6,1.6,0,3
"Elledge, Seth",32.4,1.6,1.5,0,3
"Peralta, Wily",32.4,1.5,1.7,0,6
"Ross, Joe",32.2,1.6,1.9,0,2
"Henry, Tommy",31.2,1.6,1.7,0,1
"Danish, Tyler",31.1,1.5,1.5,0,3
"Gage, Matt",31.1,1.6,1.4,0,3
"Bernardino, Brennan",31.1,1.5,1.5,0,3
"Ramirez, Yohan",31.1,1.4,1.6,0,3
"Thomas, Connor",31,1.8,1.6,0,1
"Bracho, Silvino",30.8,1.4,1.6,0,3
"Cronin, Matt",30.8,1.4,1.6,0,3
"Knack, Landon",30.8,1.6,1.5,0,3
"Kilian, Caleb",30.4,1.4,1.6,0,2
"Frias, Luis",30.3,1.5,1.5,0,8
"Kelly, Zack",30.3,1.5,1.5,0,3
"Junk, Janson",30.2,1.3,1.7,0,2
"Antone, Tejay",29.5,1.5,1.4,0,7
"Castano, Daniel",29.2,1.4,1.5,0,2
"Padilla, Nicholas",29.2,1.4,1.5,0,2
"Avila, Pedro",29.2,1.5,1.4,0,2
"Knehr, Reiss",29.2,1.4,1.4,0,2
"Naile, James",29.2,1.4,1.4,0,2
"Misiewicz, Anthony",29.2,1.5,1.4,0,8
"Peguero, Elvis",29.2,1.4,1.5,0,2
"Santos, Gregory",29.2,1.4,1.4,0,2
"Cano, Yennier",29.2,1.4,1.4,0,2
"McGee, Easton",29.2,1.3,1.5,0,2
"Alexy, A.J.",29.2,1.4,1.5,0,2
"Winckowski, Josh",29.2,1.4,1.4,0,2
"Uceta, Edwin",29.2,1.4,1.5,0,2
"Warren, Austin",29.2,1.4,1.5,0,2
"Pilkington, Konnor",29.1,1.5,1.6,0,1
"Winn, Cole",29.1,1.3,1.7,0,2
"Cantillo, Joey",29,3.9,3.3,0,0
"Mills, Wyatt",28.5,1.4,1.4,0,6
"Heuer, Codi",28.1,1.3,1.4,0,8
"Romero, JoJo",27.7,1.5,1.3,0,3
"Reyes, Alex",27.6,1.4,1.3,1,6
"Tonkin, Michael",27.5,1.5,1.2,0,3
"Bauer, Trevor",27.5,1.7,1.3,0,0
"Cordero, Jimmy",27.5,1.4,1.3,0,3
"Harris, Will",27.5,1.4,1.3,0,3
"Hamels, Cole",27.5,1.6,1.5,0,0
"Martin, Brett",27.5,1.3,1.4,0,8
"Mushinski, Parker",27.5,1.4,1.3,0,6
"Soriano, George",27.5,1.2,1.4,0,3
"Rodriguez, Yerry",27.5,1.4,1.3,0,3
"Ridings, Stephen",27.5,1.4,1.3,0,8
"Sheffield, Justus",27.4,1.3,1.5,0,2
"McGarry, Griff",27.4,1.4,1.4,0,2
"Blach, Ty",26.7,1.3,1.3,0,2
"Littell, Zack",26.7,1.2,1.4,0,5
"Toussaint, Touki",26.7,1.3,1.3,0,2
"Uelmen, Erich",26.7,1.2,1.4,0,5
"Varland, Louie",26.6,1.5,1.4,0,1
"Stiever, Jonathan",26.1,1.3,1.6,0,1
"Irvin, Jake",26,1.2,1.8,0,0
"Teheran, Julio",26,1.6,1.5,0,0
"Shuster, Jared",26,1.6,1.3,0,0
"Murphy, Patrick",25.9,1.3,1.3,0,3
"Davis, Noah",25.9,1.2,1.3,0,3
"Snider, Collin",25.9,1.2,1.4,0,9
"Martinez, Justin",25.9,1.2,1.3,0,3
"Diaz, Miguel",25.3,1.1,1.4,0,2
"Phelps, David",24.8,1.2,1.2,0,6
"Sousa, Bennett",24.6,1.1,1.3,0,8
"Williamson, Brandon",24.5,1.1,1.8,0,0
"Means, John",24.4,1.3,1.3,0,0
"Hutchison, Drew",24.3,1.2,1.2,0,2
"Coulombe, Danny",24.3,1.2,1.2,0,2
"Gustave, Jandel",24.3,1.2,1.2,0,2
"McFarland, T.J.",24.3,1.2,1.2,0,2
"Head, Louis",24.3,1.1,1.3,0,2
"Funkhouser, Kyle",24.3,1.2,1.2,0,7
"Adams, Austin",24.3,1.2,1.2,0,2
"Garza, Justin",24.3,1.2,1.2,0,2
"Hatch, Thomas",24.3,1.2,1.1,0,2
"Honeywell Jr., Brent",24.3,1.2,1.2,0,2
"Kinley, Tyler",24.3,1.2,1.2,0,7
"Hernandez, Darwinzon",24.3,1.2,1.2,0,2
"Rodriguez, Manuel",24.3,1.1,1.2,0,6
"Paredes, Enoli",24.3,1.2,1.2,0,2
"Gil, Luis",24.3,1.3,1.1,0,2
"Campbell, Isaiah",24.3,1.2,1.2,0,2
"Harris, Hogan",24.3,1.1,1.3,0,2
"Kelley, Trevor",24.3,1.1,1.3,0,4
"Felipe, Angel",24.3,1.2,1.1,0,2
"Marte, Jose",24.3,1.2,1.2,0,2
"Brito, Jhony",24.3,1.2,1.2,0,2
"Danner, Hagen",24.3,1.2,1.2,0,2
"Murphy, Chris",24.3,1.2,1.2,0,2
"Rodriguez, Chris",24.3,1.2,1.2,0,6
"Vines, Darius",24.3,1.3,1.1,0,2
"Gillaspie, Logan",24.3,1.1,1.3,0,2
"Zuniga, Guillermo",24.3,1.2,1.2,0,2
"Vargas, Carlos",24.3,1.2,1.2,0,2
"Butto, Jose",24.3,1.2,1.2,0,2
"Robinson, Cam",24.3,1.1,1.2,0,2
"Cosgrove, Tom",24.3,1.3,1.1,0,2
"Vodnik, Victor",24.3,1.2,1.1,0,2
"Varland, Gus",24.3,1.1,1.3,0,2
"Politi, Andrew",24.3,1.2,1.2,0,2
"Pacheco, Freddy",24.3,1.2,1.2,0,2
"Villalobos, Eli",24.3,1.1,1.2,0,2
"Selby, Colin",24.3,1.1,1.3,0,2
"Reifert, Evan",24.3,1.1,1.2,0,2
"Uribe, Abner",24.3,1.1,1.3,0,2
"White, Colby",24.3,1.2,1.2,0,2
"Headrick, Brent",24.3,1.2,1.2,0,2
"Denoyer, Noah",24.3,1.2,1.2,0,2
"Torres, Eric",24.3,1.2,1.2,0,2
"Stammen, Craig",24.3,1.2,1.1,0,5
"Guerra, Deolis",24.3,1,1.4,0,2
"Zerpa, Angel",23.8,1.1,1.3,0,4
"Valdez, Phillips",23.3,1.1,1.2,0,2
"Blanco, Ronel",21.9,1.1,1,0,2
"Walsh, Jake",21.9,1.1,1,0,2
"Hunter, Tommy",21.4,1,1,0,2
"Chatwood, Tyler",21.1,1,1,0,6
"Hartlieb, Geoff",21.1,1,1.1,0,2
"Assad, Javier",21.1,1,1.3,0,1
"Mikolajchak, Nick",21.1,1,1.1,0,2
"Brzykcy, Zach",21.1,1,1.1,0,2
"Montas, Frankie",21,1.3,1,0,0
"Krook, Matt",21,1.2,1,0,1
"Bolton, Cody",21,1,1.2,0,1
"Wilson, Justin",20.4,1,1,0,3
"Logue, Zach",20,1.9,2.6,0,0
"Anderson, Chase",19.7,0.8,1.5,0,0
"Banda, Anthony",19.4,0.9,1,0,2
"Davis, Austin",19.4,1,0.9,0,2
"German, Franklin",19.4,0.9,1,0,2
"Perdomo, Luis",19.3,0.9,1,0,2
"Jackson, Jay",19.3,1,0.9,0,3
"Kauffmann, Karl",19.3,2.5,3.1,0,0
"Sawamura, Hirokazu",19.2,0.9,1,0,2
"Jin Ryu, Hyun",18.7,1.1,0.9,0,0
"Otto, Glenn",18,0.9,1.2,0,0
"Henry, Cole",18,0.8,1.2,0,0
"Bradley, Taj",18,1,1.1,0,0
"Abel, Mick",18,0.9,1.2,0,0
"Elias, Roenis",17.8,0.8,0.9,0,2
"Lawrence, Casey",17.8,0.9,0.8,0,2
"Jones, Damon",17.5,0.8,0.9,0,1
"McGee, Jake",17.3,0.8,0.9,5,2
"Vasquez, Andrew",17,0.9,0.8,0,2
"Tarnok, Freddy",17,0.8,0.9,0,2
"Kerr, Ray",17,0.9,0.8,0,2
"Lindblom, Josh",16.5,0.8,1.2,0,0
"Kelly, Michael",16.2,0.8,0.8,0,2
"Harris, Hobie",16.2,0.7,0.9,0,2
"Rolison, Ryan",16,0.7,1.1,0,0
"Cecconi, Slade",16,0.8,1.1,0,0
"Phillips, Connor",16,0.7,1.2,0,0
"Walter, Brandon",16,0.9,0.9,0,0
"Ruiz, Norge",15.8,0.7,0.9,0,1
"Clay, Sam",15.5,0.8,0.8,0,2
"Williams, Gavin",15.5,0.9,0.9,0,0
"Bibee, Tanner",15.5,0.9,0.9,0,0
"McCaughan, Darren",14.6,0.7,0.7,0,1
"Sanders, Cam",14.6,0.7,0.8,0,1
"O’Day, Darren",14.4,0.7,0.7,0,5
"Holton, Tyler",14,0.6,0.7,0,2
"Widener, Taylor",13.6,0.6,0.7,0,1
"Anderson, Brett",13.5,0.7,0.8,0,0
"Tetreault, Jackson",13,0.6,0.7,0,1
"McKendry, Evan",13,0.6,0.6,0,1
"Hendriks, Liam",12.6,0.7,0.5,3,0
"Fleming, Josh",12.6,0.5,0.9,0,0
"Brice, Austin",12.2,0.6,0.6,0,1
"Miller, Tyson",12.2,0.6,0.6,0,1
"Arihara, Kohei",12.2,0.6,0.8,0,0
"Herget, Kevin",11.9,0.6,0.6,0,1
"Scott, Adam",11.8,0.6,0.6,0,1
"Ruppenthal, Matt",11.3,0.5,0.6,0,1
"Webb, Jacob",11.3,0.6,0.6,0,1
"Crouse, Hans",11.3,0.5,0.6,0,1
"Bido, Osvaldo",11.3,0.5,0.6,0,1
"Strotman, Drew",11.3,0.5,0.6,0,1
"Yeager, Justin",11.3,0.5,0.6,0,1
"Beeter, Clayton",11.3,0.6,0.5,0,1
"Weathers, Ryan",10.8,0.5,0.7,0,0
"Feyereisen, J.P.",10.5,0.5,0.5,0,3
"Ortega, Oliver",10.5,0.5,0.5,0,2
"Mize, Casey",10.5,0.5,0.7,0,0
"Hendrix, Ryan",10.2,0.5,0.5,0,1
"Cyr, Tyler",10.2,0.5,0.5,0,1
"Woods Richardson, Simeon",10,0.5,0.6,0,0
"Weems, Avery",9.9,2.3,1.8,0,0
"Morales, Francisco",9.7,0.4,0.5,0,1
"Snyder, Nick",9.7,0.5,0.5,0,2
"Meyer, Max",9.6,0.2,0.8,0,0
"Barnes, Jacob",9.3,0.4,0.5,0,2
"Liranzo, Jesus",9.3,0.4,0.5,0,1
"Bilous, Jason",9.3,1.7,2.1,0,0
"Poppen, Sean",9.3,0.4,0.5,0,2
"Kober, Collin",9.3,0.4,0.5,0,1
"Brown, Ben",9.3,2.1,1.8,0,0
"Rodriguez, Randy",9.3,0.4,0.5,0,1
"A. Ferrer, Jose",9.3,0.4,0.5,0,1
"Cruz, Jose",9.3,0.4,0.5,0,1
"Espino, Daniel",9.3,0.5,0.5,0,0
"Kent, Zak",9.3,1.9,1.9,0,0
"Denlinger, Theo",9.3,0.4,0.5,0,1
"Saucedo, Tayler",9.2,0.5,0.4,0,3
"Machado, Andres",8.9,0.4,0.5,0,1
"Castro, Anthony",8.9,0.4,0.5,0,1
"Tiedemann, Ricky",8.9,0.5,0.5,0,0
"Reid-Foley, Sean",8.8,0.4,0.4,0,1
"Gutierrez, Vladimir",8.4,0.4,0.5,0,1
"Effross, Scott",8.4,0.4,0.4,0,3
"Roberts, Ethan",8.4,0.4,0.4,0,2
"Kay, Anthony",8.1,0.4,0.4,0,1
"McClure, Kade",8.1,0.4,0.4,0,1
"Nittoli, Vinny",8.1,0.4,0.4,0,2
"Lugo, Moises",8.1,0.4,0.4,0,1
"Wilson, Brooks",8.1,0.4,0.4,0,1
"Margevicius, Nick",8.1,0.4,0.4,0,1
"Dobnak, Randy",8.1,0.4,0.4,0,1
"Rom, Drew",8.1,1.9,1.5,0,0
"Criswell, Cooper",8.1,1.8,1.6,0,0
"Funderburk, Kody",8.1,1.7,1.7,0,0
"Woods, William",8.1,0.4,0.4,0,1
"Boyle, Sean",8.1,1.8,1.6,0,0
"Schultz, Paxton",8.1,1.4,2,0,0
"Bergner, Austin",8,0.3,0.6,0,0
"Mata, Bryan",8,0.4,0.5,0,0
"Daniel, Davis",8,0.4,0.5,0,0
"Abbott, Andrew",8,0.4,0.5,0,0
"Mercado, Michael",8,0.4,0.5,0,0
"Criswell, Jeff",8,0.3,0.6,0,0
"Burke, Sean",8,0.4,0.5,0,0
"Bowlan, Jonathan",8,0.4,0.6,0,0
"Bush, Ky",8,0.5,0.5,0,0
"Gasser, Robert",8,0.4,0.5,0,0
"Hidalgo, Alejandro",8,0.4,0.6,0,0
"Dollard, Taylor",8,0.4,0.5,0,0
"Lively, Ben",7.4,0.3,0.4,0,1
"Warren, Art",7.4,0.4,0.4,0,2
"Reed, Jake",7.3,0.3,0.4,0,1
"Del Pozo, Miguel",6.8,0.3,0.4,0,1
"Kittredge, Andrew",6.6,0.3,0.3,0,1
"Then, Juan",6.6,0.3,0.4,0,0
"Buehler, Walker",6.5,0.4,0.3,0,0
"Lee, Evan",6.5,0.3,0.3,0,0
"Garrett, Reed",6.4,0.3,0.3,0,0
"Rainey, Tanner",6.3,0.3,0.3,0,2
"Bukauskas, J.B.",6.2,0.3,0.3,0,1
"McArthur, James",6,0.3,0.4,0,0
"Beck, Tristan",6,0.3,0.4,0,0
"Medina, Luis",6,0.3,0.4,0,0
"Balazovic, Jordan",6,0.3,0.4,0,0
"Legumina, Casey",6,0.3,0.5,0,0
"White, Owen",6,0.3,0.4,0,0
"Rutledge, Jackson",6,0.3,0.5,0,0
"Gomez, Yoendrys",6,0.3,0.4,0,0
"Berroa, Prelander",6,0.3,0.4,0,0
"Cruz, Jesus",6,0.3,0.3,0,0
"Vanasco, Ricky",6,0.3,0.4,0,0
"Winn, Keaton",6,0.3,0.4,0,0
"Hernandez, Joseph",6,0.3,0.4,0,0
"Marsh, Alec",6,0.3,0.4,0,0
"Richardson, Lyon",6,0.2,0.5,0,0
"Vasquez, Randy",6,0.3,0.4,0,0
"Munoz, Rolddy",6,0.4,0.3,0,0
"Canterino, Matt",6,0.3,0.4,0,0
"Spiers, Carson",6,0.3,0.5,0,0
"Johnson, Seth",6,0.3,0.4,0,0
"Jensen, Ryan",6,0.3,0.4,0,0
"Brentz, Jake",5.7,0.3,0.3,0,2
"Treinen, Blake",5.6,0.3,0.3,0,1
"Zeuch, T.J.",5.6,1,1.3,0,0
"Baz, Shane",5.4,0.3,0.3,0,0
"Sweet, Devin",5,0.2,0.3,0,0
"Lucas, Easton",5,0.2,0.3,0,0
