last_name, first_name,player_id,year,b_strikeout,b_walk,b_rbi,b_total_bases,r_total_stolen_base,b_game,r_run,
Duvall, Adam,594807,2022,101,21,36,115,0,86,39,
Kiermaier, Kevin,595281,2022,61,14,22,76,6,63,28,
Alfaro, Jorge,595751,2022,98,11,40,98,1,82,25,
Profar, Jurickson,595777,2022,103,73,58,225,5,152,82,
Baez, Javier,595879,2022,147,26,67,218,9,144,64,
Cave, Jake,595909,2022,49,11,20,63,2,54,17,
Hedges, Austin,595978,2022,78,25,30,73,2,105,26,
Lindor, Francisco,596019,2022,133,59,107,283,16,161,98,
Odor, Rougned,596059,2022,109,32,53,152,6,135,49,
Slater, Austin,596103,2022,89,40,34,113,12,125,49,
Story, Trevor,596115,2022,122,32,66,155,13,94,53,
Stubbs, Garrett,596117,2022,30,14,16,49,2,46,19,
Vogelbach, Daniel,596129,2022,114,73,59,167,0,130,47,
Sanchez, Gary,596142,2022,136,40,61,158,2,128,42,
Kepler, Max,596146,2022,66,49,43,135,3,115,54,
Franco, Maikel,596748,2022,75,12,39,127,1,103,31,
Choi, Ji-Man,596847,2022,123,58,52,138,0,113,36,
Bradley Jr., Jackie,598265,2022,77,24,38,107,2,131,30,
La Stella, Tommy,600303,2022,30,11,14,63,0,60,17,
Candelario, Jeimer,600869,2022,109,28,50,155,0,124,49,
Daza, Yonathan,602074,2022,58,26,34,143,0,113,56,
Urias, Ramon,602104,2022,98,30,51,167,1,118,50,
Anderson, Brian,605119,2022,101,37,28,117,1,98,43,
Barnes, Austin,605131,2022,37,27,26,68,2,62,31,
Bell, Josh,605137,2022,102,81,71,233,0,156,78,
Betts, Mookie,605141,2022,104,55,82,305,12,142,117,
Caratini, Victor,605170,2022,67,31,34,93,0,95,26,
Davis, J.D.,605204,2022,122,39,35,133,1,115,46,
Garcia, Aramis,605244,2022,34,3,4,28,0,47,6,
Machin, Vimael,605353,2022,47,25,13,64,1,73,26,
Perez, Michael,605421,2022,32,10,14,36,1,45,10,
Zimmer, Bradley,605548,2022,45,5,5,24,3,109,18,
Castro, Harold,605612,2022,79,17,47,160,0,120,37,
Arcia, Orlando,606115,2022,51,21,30,87,0,67,25,
Tapia, Raimel,606132,2022,81,16,52,156,8,128,47,
Aquino, Aristides,606157,2022,101,17,30,94,2,80,24,
Hernandez, Teoscar,606192,2022,152,34,77,245,6,131,71,
Marte, Ketel,606466,2022,101,55,52,200,5,137,68,
Haase, Eric,606992,2022,97,24,44,143,0,110,41,
Nimmo, Brandon,607043,2022,116,71,64,251,3,151,102,
Peterson, Jace,607054,2022,85,33,34,110,12,112,44,
Turner, Trea,607208,2022,131,45,100,304,27,160,101,
Stallings, Jacob,607732,2022,83,29,34,101,0,114,25,
Ramirez, Jose,608070,2022,82,69,126,309,20,157,90,
Bregman, Alex,608324,2022,77,87,93,249,1,155,93,
Gallo, Joey,608336,2022,163,56,47,125,3,126,48,
Kelly, Carson,608348,2022,71,29,35,106,2,104,40,
Seager, Corey,608369,2022,103,58,83,270,3,151,91,
Winker, Jesse,608385,2022,103,84,53,157,0,136,51,
Mazara, Nomar,608577,2022,40,10,18,56,0,55,16,
Plawecki, Kevin,608700,2022,32,14,13,48,0,63,15,
Refsnyder, Rob,608701,2022,46,15,21,76,1,57,25,
Reynolds, Matt,608703,2022,78,26,23,81,5,93,31,
Meneses, Joey,608841,2022,52,15,34,125,1,56,33,
Andujar, Miguel,609280,2022,27,5,17,41,4,36,13,
Vosler, Jason,613564,2022,29,10,12,46,1,36,14,
Cordero, Franchy,614173,2022,92,28,29,96,4,84,36,
Reyes, Franmil,614177,2022,157,30,47,160,2,118,43,
Torrens, Luis,620443,2022,50,12,15,45,0,55,13,
Swanson, Dansby,621020,2022,182,49,96,286,18,162,99,
Newman, Kevin,621028,2022,48,16,24,107,8,78,31,
Taylor, Chris,621035,2022,160,44,43,150,10,118,45,
Correa, Carlos,621043,2022,121,61,64,244,0,136,70,
Phillips, Brett,621433,2022,94,16,15,50,7,83,22,
Taylor, Tyrone,621438,2022,102,22,51,165,3,120,49,
Buxton, Byron,621439,2022,116,34,51,179,6,92,61,
Bolt, Skye,621450,2022,30,7,13,35,5,42,10,
Ward, Taylor,621493,2022,120,60,65,234,5,135,73,
Nido, Tomas,621512,2022,76,14,28,92,0,98,31,
Wisdom, Patrick,621550,2022,183,53,66,200,8,134,67,
Wendle, Joey,621563,2022,50,15,32,125,12,101,27,
Olson, Matt,621566,2022,170,75,103,294,0,162,86,
Duffy, Matt,622110,2022,50,17,16,71,0,77,14,
Margot, Manuel,622534,2022,68,24,47,126,7,89,36,
Camargo, Johan,622666,2022,37,13,15,48,0,52,8,
Reyes, Victor,622682,2022,77,13,34,114,2,92,27,
Mateo, Jorge,622761,2022,147,27,50,187,35,150,63,
Heineman, Tyler,623168,2022,17,8,9,42,1,62,16,
Velazquez, Andrew,623205,2022,119,15,28,98,17,125,37,
Bote, David,623520,2022,45,6,12,50,1,41,15,
Ramirez, Harold,623912,2022,72,19,58,163,3,120,46,
Santander, Anthony,623993,2022,122,55,89,261,0,152,78,
Alonso, Pete,624413,2022,128,67,131,309,5,160,95,
Arroyo, Christian,624414,2022,49,13,36,116,5,87,32,
Biggio, Cavan,624415,2022,85,38,24,90,2,97,43,
Frazier, Adam,624428,2022,73,46,42,168,11,156,61,
Trevino, Jose,624431,2022,62,15,43,130,2,115,39,
Gordon, Nick,624503,2022,105,19,50,173,6,136,45,
McGuire, Reese,624512,2022,56,12,22,92,1,89,25,
Soler, Jorge,624585,2022,90,31,34,108,0,72,32,
Sosa, Edmundo,624641,2022,50,5,21,65,6,78,26,
Hernandez, Yadiel,628450,2022,74,19,41,125,2,94,30,
Ibanez, Andy,628451,2022,21,9,9,33,3,40,13,
Cronenworth, Jake,630105,2022,131,70,88,229,3,158,88,
Meadows, Austin,640457,2022,17,16,11,42,0,36,9,
Mercado, Oscar,640458,2022,29,5,16,45,2,55,17,
Pinder, Chad,640461,2022,118,14,42,139,2,111,38,
Azocar, Jose,640492,2022,44,12,10,67,5,98,24,
Anderson, Tim,641313,2022,55,14,25,131,13,79,50,
Bellinger, Cody,641355,2022,150,38,68,196,14,144,70,
Collins, Zack,641470,2022,41,9,11,31,0,36,9,
Crawford, J.P.,641487,2022,80,68,42,174,3,145,57,
Delay, Jason,641511,2022,50,9,11,42,0,57,17,
Dozier, Hunter,641531,2022,125,34,41,179,4,128,51,
Engel, Adam,641553,2022,76,11,17,76,12,119,32,
Fraley, Jake,641584,2022,54,26,28,101,4,68,33,
Garver, Mitch,641598,2022,53,23,24,76,1,54,23,
Guillorme, Luis,641645,2022,46,34,17,101,1,102,33,
Hampson, Garrett,641658,2022,63,21,15,61,12,90,29,
Heim, Jonah,641680,2022,87,41,48,162,2,127,51,
Leblanc, Charles,641779,2022,53,12,11,63,4,48,18,
Mancini III, Trey,641820,2022,135,53,63,203,0,143,56,
McMahon, Ryan,641857,2022,158,60,67,219,7,153,67,
Neuse, Sheldon,641914,2022,80,20,26,78,6,89,25,
O'Neill, Tyler,641933,2022,103,38,58,131,14,96,56,
Smith, Dominic,642086,2022,37,12,17,38,0,58,11,
Tellez, Rowdy,642133,2022,121,62,89,244,2,153,67,
VanMeter, Josh,642165,2022,45,19,14,50,4,67,15,
Wade, Tyler,642180,2022,33,10,8,40,8,67,22,
White, Eli,642201,2022,41,11,10,32,12,47,16,
Mejia, Francisco,642336,2022,65,7,31,110,0,93,32,
Siri, Jose,642350,2022,108,20,24,102,14,104,53,
Rosario, Amed,642708,2022,111,25,71,257,18,153,86,
Adames, Willy,642715,2022,166,49,98,258,8,139,83,
Alcantara, Sergio,642727,2022,57,12,29,73,1,93,26,
Estrada, Thairo,642731,2022,89,33,62,195,21,140,71,
Wynns, Austin,642851,2022,38,10,21,58,0,65,14,
Benintendi, Andrew,643217,2022,77,52,51,184,8,126,54,
Cooper, Garrett,643265,2022,119,40,50,172,0,119,37,
Dubon, Mauricio,643289,2022,30,13,24,76,2,104,31,
Jansen, Danny,643376,2022,44,25,44,111,1,72,34,
Kemp, Tony,643393,2022,69,45,46,166,11,147,61,
Kiner-Falefa, Isiah,643396,2022,72,35,48,158,22,142,66,
McNeil, Jeff,643446,2022,61,40,62,242,4,148,73,
Schwindel, Frank,643524,2022,58,19,36,97,0,75,23,
