last_name, first_name,player_id,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Rojas, Miguel,500743,2021,32,.345,.292,.308,86.2,11.5,32.4,2.8,4.7,32.9,66.4,26.3,45.6,22,24.3,8,26.6,
Escobar, Eduardo,500871,2021,32,.453,.328,.310,87,20.8,38,8.9,6.1,34.5,72.2,28.9,33.3,33.3,23,10.3,27.4,
Pham, Tommy,502054,2021,33,.438,.350,.362,90.8,7.6,35.6,10,8.8,47.6,60,16,49.6,21.4,24.8,4.3,27.8,
Martinez, J.D.,502110,2021,33,.533,.374,.352,92.1,16.9,41.2,12.5,10.8,49.4,76.5,33.7,34.1,31.5,28.9,5.4,26.1,
Goldschmidt, Paul,502671,2021,33,.575,.397,.366,92.6,17.1,36.9,13.6,8.3,50.6,64.4,25.2,37.3,31.1,24.6,7,26.2,
Altuve, Jose,514888,2021,31,.421,.332,.339,87.7,15.6,32.1,6.4,6.2,35,66.8,30.3,41,24.6,23.6,10.8,28.0,
Hernandez, Cesar,514917,2021,31,.386,.311,.319,87.4,10.7,32.6,6.8,5,33.2,68.3,26.1,47.3,25.1,23.7,3.9,28.7,
Segura, Jean,516416,2021,31,.396,.319,.328,87.2,5.8,31.1,5.9,5.4,37.4,66.7,30.1,52.4,19,22.7,5.9,27.3,
Marte, Starling,516782,2021,32,.438,.347,.354,87.6,4.6,32.6,8.4,4.3,39.6,71,30.2,56.3,16.7,22.9,4,28.4,
Donaldson, Josh,518626,2021,35,.542,.388,.372,94.1,14.6,30.2,17.4,4.8,52.7,70.2,22.6,43.9,28.5,20.5,7.1,24.5,
Freeman, Freddie,518692,2021,31,.583,.416,.410,91.4,12,37.2,11.5,7.1,46.1,77.6,25.7,43.2,28.9,25.1,2.8,27.0,
LeMahieu, DJ,518934,2021,32,.397,.340,.366,90.6,5,33.3,3.7,6.9,43.5,62,20.4,52,18.3,26.8,3,26.5,
Rizzo, Anthony,519203,2021,31,.434,.347,.356,90.1,14.8,31.4,7.7,5.6,41.1,64.5,29.4,41.3,27.1,23.9,7.7,25.2,
Stanton, Giancarlo,519317,2021,31,.498,.363,.346,95.1,10.3,32.6,15.7,11,56.3,63.5,28,45.5,23,24.2,7.3,24.7,
Perez, Salvador,521692,2021,31,.565,.374,.321,93,15.9,34.1,16.3,8.6,56.2,78.6,44.7,37.4,33,23.6,5.9,26.1,
Garcia, Avisail,541645,2021,30,.514,.366,.346,90.4,9.3,35.9,12.2,7,46.4,81.9,37.2,48.4,26.1,22,3.5,28.7,
Villar, Jonathan,542340,2021,30,.388,.307,.310,88,7,29.9,7.4,5.6,34.9,74.6,28,49.1,23.5,21.9,5.6,27.3,
Aguilar, Jesus,542583,2021,31,.453,.334,.329,89.6,19,34.7,8.5,5.5,41,63.8,27.4,33.3,31.7,26.7,8.3,24.3,
Crawford, Brandon,543063,2021,34,.492,.356,.341,88.8,14.7,35.8,11.5,8.4,43.3,77.6,27.9,40.5,28.7,23,7.8,25.8,
Cron, C.J.,543068,2021,31,.481,.364,.360,88.8,15.8,31.9,11.5,5,42,66.3,30.8,38.7,32.5,21.3,7.6,25.9,
Grossman, Robbie,543257,2021,31,.399,.334,.355,87.8,21.1,39.5,7.6,8.3,34.1,63.4,15.7,30,35.9,26.8,7.3,27.8,
Harrison, Josh,543281,2021,33,.420,.333,.340,87.2,14.5,39.5,4.4,7.4,32.6,75.1,35.5,40.2,27.3,27.3,5.3,26.7,
Hosmer, Eric,543333,2021,31,.406,.326,.337,90.5,3.3,26.6,5.8,6.1,47,67,31.8,56.2,14.8,23.2,5.8,26.0,
Semien, Marcus,543760,2021,30,.459,.336,.320,89.7,20.3,35.2,9.8,8.3,41.3,69.7,21.3,31,36.7,23.2,9,28.6,
Grichuk, Randal,545341,2021,29,.402,.297,.278,89.8,16.1,30.4,8.5,6.2,41.1,73.7,32.4,39.7,29.4,20,11,28.1,
Harper, Bryce,547180,2021,28,.609,.430,.423,92.5,13.3,38.9,18.1,8.3,49.7,75.3,24.8,41.9,26.4,27.2,4.4,27.8,
Abreu, Jose,547989,2021,34,.457,.349,.347,92,10.4,31.2,10.2,9.2,49.3,66.7,32.2,47.3,25.6,21.7,5.3,26.5,
Suarez, Eugenio,553993,2021,29,.455,.326,.302,89.1,18.3,33,15,3.8,39.8,64.3,23.3,36.3,35.7,20.4,7.7,26.7,
Schoop, Jonathan,570731,2021,29,.404,.311,.305,88.1,10.8,30.1,6.8,4.4,40.2,70.9,35.3,48.4,20.3,21.7,9.6,27.0,
