last_name, first_name,player_id,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Pujols, Albert,405395,2022,42,.499,.365,.343,91.2,16.4,34.5,12,7,47.3,63.5,34.9,38,29.5,20.5,12,22.6,
Cabrera, Miguel,408234,2022,39,.331,.275,.290,89.9,5,35.2,4.7,3.7,38.2,71.3,31.5,52.5,19.6,25.9,2,23.1,
Molina, Yadier,425877,2022,39,.328,.254,.251,84.7,16.9,34.1,3.1,4.9,26,75.2,41.3,39,29.6,20.2,11.2,21.8,
Cano, Robinson,429664,2022,39,.299,.237,.239,88.2,5.8,29.3,4,4,41.3,77.3,40,54.7,18.7,20,6.7,24.3,
Suzuki, Kurt,435559,2022,38,.281,.255,.276,85.2,24.1,31,3.5,7.1,26.5,68.1,27.4,30.1,30.1,21.2,18.6,24.2,
Cruz Jr., Nelson,443558,2022,41,.399,.320,.323,90.9,7.2,28,9.3,4.5,46.1,72.4,31.1,53,19.3,22.9,4.8,25.5,
Peralta, David,444482,2022,34,.399,.313,.318,90.3,15.1,35,8.5,9.1,44.4,69.2,32.9,36.3,28.4,26.3,9.1,27.6,
Escobar, Alcides,444876,2022,35,.264,.233,.252,81.8,15.7,39.1,1.1,1.1,17.4,70.8,36.6,38,20.7,30.4,10.9,28.2,
Longoria, Evan,446334,2022,36,.437,.324,.309,91.1,18.2,33.3,12.4,10.2,46.8,62.7,26.1,37.1,29,24.2,9.7,25.2,
Blackmon, Charlie,453568,2022,35,.376,.301,.308,86.2,12.4,36.7,4.4,4,30.6,70.1,32,44.4,23.8,25.7,6.1,27.9,
Maldonado, Martin,455117,2022,35,.325,.253,.245,88.4,14.7,31.6,8.1,6,40.2,69.1,31,43.6,29.5,20.9,6,22.4,
Chirinos, Robinson,455139,2022,38,.281,.245,.255,84.8,17.6,30.8,6.9,5.4,33.1,72,31.1,40.8,25.4,20.8,13.1,23.7,
Cain, Lorenzo,456715,2022,36,.253,.230,.250,87.9,3.8,21.8,0,8.2,36.4,73.7,32.2,59.1,15.5,20,5.5,28.3,
Solano, Donovan,456781,2022,34,.393,.315,.325,88.3,10.7,36.1,5.9,6.8,41.2,66.5,32.2,45.2,23.3,27.4,4.1,25.8,
McCutchen, Andrew,457705,2022,35,.406,.325,.329,89.1,13.2,36.2,8.6,5.8,40,68.5,20.8,41.8,28.1,24.1,6.1,28.9,
Turner, Justin,457759,2022,37,.427,.339,.343,89.5,18.4,40.6,8,6.2,40.6,70.4,26.7,32.8,33.3,27.9,5.9,25.0,
Votto, Joey,458015,2022,38,.390,.322,.331,89.7,14.2,32.9,11.1,3.1,41.3,70.8,23,44.9,31.1,20,4,25.3,
Andrus, Elvis,462101,2022,33,.360,.293,.300,87.9,11.9,29.1,4.5,3.6,34.8,62.3,29.4,46.5,22.1,22.8,8.6,26.0,
Santana, Carlos,467793,2022,36,.438,.352,.361,90.7,15.4,31.6,9.3,7.2,44.9,63.9,21.7,39.1,28.4,22.6,9.9,25.7,
Belt, Brandon,474832,2022,34,.412,.326,.328,88.4,23.4,38.5,12.6,6.3,38.5,75.5,21.2,29.3,37.9,22.4,10.3,24.4,
Lowrie, Jed,476704,2022,38,.281,.247,.264,86.2,16.3,26.9,3.1,3.8,30.8,72.9,23.6,41.5,29.2,21.5,7.7,25.0,
Brantley Jr., Michael,488726,2022,35,.467,.374,.390,89.8,10.7,39.5,6,6.5,45.1,62.3,21.9,44.2,22.8,30.7,2.3,25.3,
Gurriel, Yuli,493329,2022,38,.319,.271,.286,88.2,14.6,30.3,1.9,4.4,35.6,63.1,34.9,41.7,24.6,23.8,9.9,26.9,
Rojas, Miguel,500743,2022,33,.347,.293,.310,86.1,10.1,33.1,1.9,5.6,27.1,66.2,30.4,47.1,19.6,26.8,6.5,26.4,
Escobar, Eduardo,500871,2022,33,.427,.314,.300,88.3,20.6,38.7,9.4,8.9,37.6,73.5,34,30.9,32.8,26.9,9.4,27.9,
Adrianza, Ehire,501303,2022,32,.288,.274,.306,84.6,12.6,30.1,1.4,1.4,21.9,62.5,26.2,50.7,17.8,20.5,11,26.5,
Pham, Tommy,502054,2022,34,.383,.311,.315,92.2,7.7,33.2,7.9,8.2,48.5,60.8,21.6,48.2,22.4,24.7,4.6,27.9,
Martinez, J.D.,502110,2022,34,.471,.349,.330,89.1,14.1,42,12.5,8.9,41.7,74.9,31.9,38.2,30.8,26.7,4.3,26.1,
Goldschmidt, Paul,502671,2022,34,.482,.367,.357,90.8,15.7,31.8,11.6,9.9,47.4,59.8,25.1,40.8,28.8,22.9,7.5,26.2,
Gonzalez, Marwin,503556,2022,33,.345,.282,.286,88,19.4,34.1,5.9,5.9,37.3,63.1,37.6,37.8,24.4,24.4,13.3,26.3,
Altuve, Jose,514888,2022,32,.440,.354,.362,85.9,16.1,35.4,7.7,6.6,29.7,64,28.6,41,25.6,23.6,9.8,28.1,
Hernandez, Cesar,514917,2022,32,.329,.290,.312,84.8,9.3,33.3,2.4,4.9,29.7,68.7,25.9,48.6,19.3,26.4,5.8,28.3,
Segura, Jean,516416,2022,32,.363,.303,.316,87.6,4.3,28.3,4.4,4,38.4,64.4,34.7,56.2,15.8,20.9,7.1,27.7,
Marte, Starling,516782,2022,33,.428,.336,.332,86.8,7.5,38.5,6.8,7,33.9,67.5,32.8,50.1,20.1,26,3.8,28.0,
Culberson, Charlie,518586,2022,33,.303,.251,.258,85.3,5.9,28.4,1.1,9.1,27.3,76.4,42.2,58,17,19.3,5.7,27.9,
d'Arnaud, Travis,518595,2022,33,.412,.313,.300,88.5,11.8,35,8.5,6.2,38.9,70.1,35.5,45.4,25.2,22.9,6.5,26.1,
Donaldson, Josh,518626,2022,36,.370,.299,.303,90.7,12,34.8,9.8,6.3,43.3,66.6,29.3,43.5,25.9,24.1,6.5,25.7,
Freeman, Freddie,518692,2022,32,.538,.403,.400,91.3,13.6,42.9,9.9,8.5,47.8,73.9,27.3,38.9,28.4,29.8,2.9,26.9,
Grandal, Yasmani,518735,2022,33,.319,.290,.317,90,12.1,30,4.8,6.4,40,58.6,20.8,43.6,22,27.2,7.2,22.0,
